date,tesla,facebook
2017/09/20,373.910004,172.169998
2017/09/21,366.480011,171.110001
2017/09/22,351.089996,170.539993
2017/09/25,344.989990,162.869995
2017/09/26,345.250000,164.210007
2017/09/27,340.970001,167.679993
2017/09/28,339.600006,168.729996
2017/09/29,341.100006,170.869995
2017/10/02,341.529999,169.470001
2017/10/03,348.140015,169.960007
2017/10/04,355.010010,168.419998
2017/10/05,355.329987,171.240005
2017/10/06,356.880005,172.229996
2017/10/09,342.940002,172.500000
2017/10/10,355.589996,171.589996
2017/10/11,354.600006,172.740005
2017/10/12,355.679993,172.550003
2017/10/13,355.570007,173.740005
2017/10/16,350.600006,174.520004
2017/10/17,355.750000,176.110001
2017/10/18,359.649994,176.029999
2017/10/19,351.809998,174.559998
2017/10/20,345.100006,174.979996
2017/10/23,337.019989,171.270004
2017/10/24,337.339996,171.800003
2017/10/25,325.839996,170.600006
2017/10/26,326.170013,170.630005
2017/10/27,320.869995,177.880005
2017/10/30,320.079987,179.869995
2017/10/31,331.529999,180.059998
2017/11/01,321.079987,182.660004
2017/11/02,299.260010,178.919998
2017/11/03,306.089996,178.919998
2017/11/06,302.779999,180.169998
2017/11/07,306.049988,180.250000
2017/11/08,304.390015,179.559998
2017/11/09,302.989990,179.300003
2017/11/10,302.989990,178.460007
2017/11/13,315.399994,178.770004
2017/11/14,308.700012,178.070007
2017/11/15,311.299988,177.949997
2017/11/16,312.500000,179.589996
2017/11/17,315.049988,179.000000
2017/11/20,308.739990,178.740005
2017/11/21,317.809998,181.860001
2017/11/22,312.600006,180.869995
2017/11/24,315.549988,182.779999
2017/11/27,316.809998,183.029999
2017/11/28,317.549988,182.419998
2017/11/29,307.540009,175.130005
2017/11/30,308.850006,177.179993
2017/12/01,306.529999,175.100006
2017/12/04,305.200012,171.470001
2017/12/05,303.700012,172.830002
2017/12/06,313.260010,176.059998
2017/12/07,311.239990,180.139999
2017/12/08,315.130005,179.000000
2017/12/11,328.910004,179.039993
2017/12/12,341.029999,176.960007
2017/12/13,339.029999,178.300003
2017/12/14,337.890015,178.389999
2017/12/15,343.450012,180.179993
2017/12/18,338.869995,180.820007
2017/12/19,331.100006,179.509995
2017/12/20,328.980011,177.889999
2017/12/21,331.660004,177.449997
2017/12/22,325.200012,177.199997
2017/12/26,317.290009,175.990005
2017/12/27,311.640015,177.619995
2017/12/28,315.359985,177.919998
2017/12/29,311.350006,176.460007
2018/01/02,320.529999,181.419998
2018/01/03,317.250000,184.669998
2018/01/04,314.619995,184.330002
2018/01/05,316.579987,186.850006
2018/01/08,336.410004,188.279999
2018/01/09,333.690002,187.869995
2018/01/10,334.799988,187.839996
2018/01/11,337.950012,187.770004
2018/01/12,336.220001,179.369995
2018/01/16,340.059998,178.389999
2018/01/17,347.160004,177.600006
2018/01/18,344.570007,179.800003
2018/01/19,350.019989,181.289993
2018/01/22,351.559998,185.369995
2018/01/23,352.790009,189.350006
2018/01/24,345.890015,186.550003
2018/01/25,337.640015,187.479996
2018/01/26,342.850006,190.000000
2018/01/29,349.529999,185.979996
2018/01/30,345.820007,187.119995
2018/01/31,354.309998,186.889999
2018/02/01,349.250000,193.089996
2018/02/02,343.750000,190.279999
2018/02/05,333.130005,181.259995
2018/02/06,333.970001,185.309998
2018/02/07,345.000000,180.179993
2018/02/08,315.230011,171.580002
2018/02/09,310.420013,176.110001
2018/02/12,315.730011,176.410004
2018/02/13,323.660004,173.149994
2018/02/14,322.309998,179.520004
2018/02/15,334.070007,179.960007
2018/02/16,335.489990,177.360001
2018/02/20,334.769989,176.009995
2018/02/21,333.299988,177.910004
2018/02/22,346.170013,178.990005
2018/02/23,352.049988,183.289993
2018/02/26,357.420013,184.929993
2018/02/27,350.989990,181.460007
2018/02/28,343.059998,178.320007
2018/03/01,330.929993,175.940002
2018/03/02,335.119995,176.619995
2018/03/05,333.350006,180.399994
2018/03/06,328.200012,179.779999
2018/03/07,332.299988,183.710007
2018/03/08,329.100006,182.339996
2018/03/09,327.170013,185.229996
2018/03/12,345.510010,184.759995
2018/03/13,341.839996,181.880005
2018/03/14,326.630005,184.190002
2018/03/15,325.600006,183.860001
2018/03/16,321.350006,185.089996
2018/03/19,313.559998,172.559998
2018/03/20,310.549988,168.149994
2018/03/21,316.529999,169.389999
2018/03/22,309.100006,164.889999
2018/03/23,301.540009,159.389999
2018/03/26,304.179993,160.059998
2018/03/27,279.179993,152.220001
2018/03/28,257.779999,153.029999
2018/03/29,266.130005,159.789993
2018/04/02,252.479996,155.389999
2018/04/03,267.529999,156.110001
2018/04/04,286.940002,155.100006
2018/04/05,305.720001,159.339996
2018/04/06,299.299988,157.199997
2018/04/09,289.660004,157.929993
2018/04/10,304.700012,165.039993
2018/04/11,300.929993,166.320007
2018/04/12,294.079987,163.869995
2018/04/13,300.339996,164.520004
2018/04/16,291.209991,164.830002
2018/04/17,287.690002,168.660004
2018/04/18,293.350006,166.360001
2018/04/19,300.079987,168.100006
2018/04/20,290.239990,166.279999
2018/04/23,283.369995,165.839996
2018/04/24,283.459991,159.690002
2018/04/25,280.690002,159.690002
2018/04/26,285.480011,174.160004
2018/04/27,294.079987,173.589996
2018/04/30,293.899994,172.000000
2018/05/01,299.920013,173.860001
2018/05/02,301.149994,176.070007
2018/05/03,284.450012,174.020004
2018/05/04,294.089996,176.610001
