publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2018p720479,,2018-09-24T13:51:16.322Z,2018-09-24T13:55:56.809Z,168.0114596,-44.97526331,4.214031242,52.8125,M,,NonLinLoc,,automatic,nz3drx,76,76,39,0.3104720375,129.8335566,1.717252694,0
2018p720470,,2018-09-24T13:46:57.802Z,2018-09-24T13:48:43.515Z,176.2086017,-39.76531325,2.299003812,31.015625,M,,NonLinLoc,,automatic,nz3drx,34,34,18,0.176129791,44.38560774,0.6543853764,0
2018p720442,,2018-09-24T13:31:41.239Z,2018-09-24T13:34:31.413Z,175.8460957,-38.60652026,2.913256619,151.71875,M,,NonLinLoc,,automatic,nz3drx,86,86,42,0.2698763964,45.23727894,1.389200279,0
2018p720303,,2018-09-24T12:17:32.833Z,2018-09-24T13:43:39.714Z,175.0038292,-39.2836152,2.314145777,25.390625,M,,NonLinLoc,,automatic,nz3drx,39,39,19,0.244621488,57.62741256,0.4996425222,0
2018p720287,,2018-09-24T12:08:57.072Z,2018-09-24T13:57:24.854Z,176.0241099,-38.84870871,2.383710265,115.15625,M,,NonLinLoc,,automatic,nz3drx,56,56,24,0.3068530896,86.99238249,1.179925082,0
2018p720086,,2018-09-24T10:22:12.060Z,2018-09-24T10:24:10.951Z,176.0200842,-38.75773091,1.751604608,5.234375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1012128609,139.7247598,1.046102991,0
2018p719934,,2018-09-24T09:00:54.723Z,2018-09-24T09:04:29.744Z,178.0054725,-38.49121599,3.1397653,39.6875,M,,NonLinLoc,,automatic,nz3drx,77,77,46,0.1305183185,101.7151198,0.9908117878,0
2018p719928,,2018-09-24T08:57:42.279Z,2018-09-24T08:59:53.607Z,176.8104999,-39.74932479,1.548415868,36.40625,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.06711654517,110.9263937,0.4312908771,0
2018p719888,,2018-09-24T08:36:41.241Z,2018-09-24T08:38:49.364Z,168.563349,-44.34328165,2.986497281,5.46875,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.3048685733,155.6543279,0.640950418,0
2018p719738,,2018-09-24T07:16:55.664Z,2018-09-24T07:17:50.784Z,175.4094586,-39.16422476,1.00696234,9.921875,M,,NonLinLoc,,automatic,nz3drx,20,20,7,0.09494548376,164.9904374,0.2394317141,0
2018p719734,earthquake,2018-09-24T07:14:44.879Z,2018-09-24T07:18:08.299Z,176.5684662,-40.36273193,2.066422455,12.12878036,M,,LOCSAT,confirmed,manual,iasp91,22,11,7,0.1089366898,182.0864296,0.6794391375,0
2018p719724,,2018-09-24T07:09:17.688Z,2018-09-24T07:12:18.938Z,176.8653145,-37.03295699,2.893133483,44.375,M,,NonLinLoc,,automatic,nz3drx,16,16,5,1.003415136,224.9929847,1.558888522,0
2018p719710,earthquake,2018-09-24T07:01:35.347Z,2018-09-24T07:13:52.306Z,168.56427,-44.34712219,2.527804661,1.789289713,M,,LOCSAT,confirmed,manual,iasp91,10,7,4,0.3167024553,156.0029087,0.2670321984,0
2018p719707,earthquake,2018-09-24T06:59:45.272Z,2018-09-24T07:07:44.805Z,178.7814636,-35.76891708,3.724519707,179.1228027,M,,LOCSAT,confirmed,manual,iasp91,44,32,18,1.830112696,273.562088,0.765723279,0
2018p719632,,2018-09-24T06:20:18.241Z,2018-09-24T06:22:26.431Z,175.399142,-39.14014865,0.9271443792,5.1171875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.07480110832,200.908719,1.100138169,0
2018p719511,earthquake,2018-09-24T05:15:33.994Z,2018-09-24T07:02:07.123Z,177.4185028,-37.09619141,2.957833506,119.6895142,M,,LOCSAT,confirmed,manual,iasp91,26,20,19,0.7196850777,185.9893875,0.7110712633,0
2018p719406,earthquake,2018-09-24T04:19:54.607Z,2018-09-24T04:45:48.517Z,169.5722656,-44.78653336,2.596780122,1.953564167,M,,LOCSAT,confirmed,manual,iasp91,14,8,4,0.3969345689,86.30279922,0.3839350679,0
2018p719323,earthquake,2018-09-24T03:35:41.228Z,2018-09-24T04:52:04.346Z,172.9741821,-42.63761902,2.567905919,14.99608898,M,,LOCSAT,confirmed,manual,iasp91,21,13,4,0.3325695097,110.0760117,0.7901295567,0
2018p719013,earthquake,2018-09-24T00:50:14.864Z,2018-09-24T01:57:22.738Z,176.2169647,-40.27199936,1.544626252,29.54768944,M,,LOCSAT,confirmed,manual,iasp91,13,8,6,0.04694186524,82.30374146,0.3242304889,0
2018p718894,earthquake,2018-09-23T23:46:44.997Z,2018-09-24T01:50:15.481Z,172.7710419,-43.48895645,1.954570446,4.301607609,M,,LOCSAT,confirmed,manual,iasp91,17,9,6,0.2331735492,117.901535,0.2449435649,0
2018p718818,,2018-09-23T23:06:34.892Z,2018-09-23T23:08:54.369Z,175.567462,-39.42331216,2.800341304,7.8125,M,,NonLinLoc,,automatic,nz3drx,11,11,5,0.2713483362,109.0898416,1.929485374,0
2018p718654,earthquake,2018-09-23T21:39:15.828Z,2018-09-23T22:41:13.656Z,172.3881836,-43.57627869,2.414257197,3.62088418,M,,LOCSAT,confirmed,manual,iasp91,24,14,8,0.2324041873,98.98419189,0.4361323603,0
2018p718642,earthquake,2018-09-23T21:32:53.729Z,2018-09-23T22:37:13.882Z,175.6872864,-37.65350723,2.058906619,3.844954729,M,,LOCSAT,confirmed,manual,iasp91,13,10,8,0.1661880314,128.1634506,0.5982608695,0
2018p718598,,2018-09-23T21:09:02.742Z,2018-09-23T21:10:49.634Z,174.8859138,-40.13646468,1.897931234,30.3125,M,,NonLinLoc,,automatic,nz3drx,15,15,7,0.7106379608,153.8315536,0.8291850164,0
2018p718560,earthquake,2018-09-23T20:48:51.089Z,2018-09-24T07:23:03.130Z,167.5493164,-45.10829163,3.125720613,57.13965607,M,,LOCSAT,confirmed,manual,iasp91,17,10,5,0.4778856933,182.1447983,0.6190839216,0
2018p718526,,2018-09-23T20:30:56.171Z,2018-09-23T20:32:56.421Z,173.5828431,-42.31175346,2.424470032,29.84375,M,,NonLinLoc,,automatic,nz3drx,18,18,3,0.1093485177,140.817642,0.8403386992,0
2018p718505,,2018-09-23T20:19:31.436Z,2018-09-23T20:36:24.015Z,175.8690208,-40.19017244,2.78186901,35.234375,M,,NonLinLoc,,automatic,nz3drx,53,53,36,0.1497383255,46.52670737,0.6892659847,0
2018p718483,,2018-09-23T20:07:59.562Z,2018-09-23T20:10:24.286Z,175.0383883,-41.07245972,1.565697135,24.453125,M,,NonLinLoc,,automatic,nz3drx,15,15,4,0.04153683259,70.47400389,1.264700162,0
2018p718482,,2018-09-23T20:07:46.956Z,2018-09-23T20:09:32.196Z,176.3279147,-38.52296954,1.997427286,74.375,M,,NonLinLoc,,automatic,nz3drx,10,10,5,0.5085308197,172.7994831,0.9535013685,0
2018p718465,,2018-09-23T19:58:38.716Z,2018-09-23T20:00:44.359Z,174.9519907,-40.36193296,2.306102615,85.625,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.4819284939,136.234652,1.362930371,0
2018p718445,,2018-09-23T19:47:54.150Z,2018-09-23T19:50:09.693Z,176.9234486,-39.70274512,1.868858103,36.40625,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.1015720119,120.2069247,0.7933702972,0
2018p718423,earthquake,2018-09-23T19:36:15.542Z,2018-09-23T20:37:28.173Z,175.6709313,-39.2872351,0.5472241947,22.109375,M,,NonLinLoc,confirmed,manual,nz3drx,13,8,6,0.07098985797,140.5397632,0.2794557324,0
2018p718346,,2018-09-23T18:54:55.998Z,2018-09-23T18:56:55.636Z,177.8460497,-37.8000071,1.54692295,49.0625,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.06472589639,157.3333403,1.420761139,0
2018p718337,earthquake,2018-09-23T18:50:00.588Z,2018-09-23T23:05:34.809Z,174.2325287,-41.62628937,2.982688318,7.697338581,M,,LOCSAT,confirmed,manual,iasp91,25,19,19,0.1234265417,100.4306412,0.4379138654,0
2018p718154,,2018-09-23T17:13:06.868Z,2018-09-23T17:15:30.754Z,175.6660071,-40.75344098,2.216202504,5.9375,M,,NonLinLoc,,automatic,nz3drx,17,17,10,0.1113414841,191.0792774,1.427897636,0
2018p718152,,2018-09-23T17:11:55.156Z,2018-09-23T17:13:26.659Z,178.096561,-37.80611302,1.72117723,7.34375,M,,NonLinLoc,,automatic,nz3drx,10,10,6,0.0622539125,235.7851191,0.6617357298,0
2018p718149,,2018-09-23T17:10:18.265Z,2018-09-23T17:11:49.862Z,177.6912777,-38.9771544,1.547049594,16.015625,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.04921505053,67.43262318,0.1828111227,0
2018p718119,,2018-09-23T16:54:08.625Z,2018-09-23T16:56:23.455Z,167.8837623,-44.96500665,3.191975482,80.9375,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.2901889273,188.6596859,0.7447934185,0
2018p717997,,2018-09-23T15:48:56.278Z,2018-09-23T15:51:10.494Z,177.6908593,-38.08173076,2.146796563,5.9375,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1167169025,135.2265308,0.839222276,0
2018p717991,,2018-09-23T15:46:10.523Z,2018-09-23T15:48:05.763Z,177.956322,-37.74346124,2.254118553,45.3125,M,,NonLinLoc,,automatic,nz3drx,10,10,7,0.138253632,232.6688212,0.6835833414,0
2018p717980,,2018-09-23T15:40:06.903Z,2018-09-23T15:42:21.330Z,178.5516366,-38.16161655,2.563448063,34.0625,M,,NonLinLoc,,automatic,nz3drx,18,18,12,0.2432126279,235.2357731,0.6805704997,0
2018p717915,,2018-09-23T15:05:16.578Z,2018-09-23T15:07:12.128Z,177.2694918,-39.09923471,1.795745952,28.203125,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.03471316189,136.8637732,0.1601553275,0
2018p717908,,2018-09-23T15:01:30.556Z,2018-09-23T15:04:13.097Z,174.4129534,-39.81530093,2.399711306,95.9375,M,,NonLinLoc,,automatic,nz3drx,42,42,15,0.4445335076,95.08798764,0.9581708661,0
2018p717898,,2018-09-23T14:56:23.281Z,2018-09-23T14:57:55.890Z,177.9684917,-38.67080573,1.53248121,24.921875,M,,NonLinLoc,,automatic,nz3drx,13,13,7,0.1667168386,141.9931003,0.3740075649,0
2018p717872,,2018-09-23T14:42:18.764Z,2018-09-23T14:44:33.661Z,172.3950722,-42.77809202,2.365021684,14.84375,M,,NonLinLoc,,automatic,nz3drx,23,23,7,0.09115370987,62.12278607,0.7169999259,0
2018p717838,,2018-09-23T14:24:07.276Z,2018-09-23T14:26:05.829Z,173.7216764,-42.02544335,2.176989856,22.34375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.330478395,151.4090371,0.3415784853,0
2018p717831,,2018-09-23T14:20:38.655Z,2018-09-23T14:22:33.692Z,176.7884941,-39.84198131,1.480699717,27.03125,M,,NonLinLoc,,automatic,nz3drx,11,11,6,0.08311000978,109.4616041,0.8448146689,0
2018p717689,,2018-09-23T13:04:55.725Z,2018-09-23T13:06:45.163Z,172.7813245,-43.48288147,2.337735219,9.921875,M,,NonLinLoc,,automatic,nz3drx,16,16,4,0.2426581625,112.3962821,0.5200473449,0
2018p717663,,2018-09-23T12:50:51.705Z,2018-09-23T13:09:03.874Z,170.7963375,-43.41278607,2.007853422,5.234375,M,,NonLinLoc,,automatic,nz3drx,10,10,3,0.3407432092,87.94529935,0.6011780703,0
