ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11438057,JB424539,09/01/2018 12:01:00 AM,023XX W SHAKESPEARE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,1432,014,32,22,05,1160396,1914333,2018,09/09/2018 03:52:50 PM,41.920632304,-87.686096772,"(41.920632304, -87.686096772)"
11437850,JB423202,09/01/2018 12:01:00 AM,108XX S WABASH AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0513,005,9,49,03,1178496,1833204,2018,09/08/2018 04:01:32 PM,41.697613123,-87.622061265,"(41.697613123, -87.622061265)"
11432891,JB417702,09/01/2018 12:39:00 AM,025XX W THOMAS ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,true,false,1211,012,26,24,05,1159179,1907229,2018,09/28/2018 04:00:03 PM,41.901163492,-87.690763827,"(41.901163492, -87.690763827)"
11439965,JB427041,09/01/2018 01:00:00 AM,073XX S MARSHFIELD AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0735,007,17,67,05,1166614,1856015,2018,09/12/2018 04:00:35 PM,41.76047099,-87.664918155,"(41.76047099, -87.664918155)"
11432908,JB417784,09/01/2018 01:00:00 AM,069XX S WABASH AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0322,003,6,69,05,1177924,1859000,2018,09/08/2018 04:01:32 PM,41.768413526,-87.623376516,"(41.768413526, -87.623376516)"
11437258,JB423342,09/01/2018 02:28:00 AM,038XX W MONTROSE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1723,017,39,16,03,1149850,1928962,2018,09/08/2018 04:01:32 PM,41.960987351,-87.724463378,"(41.960987351, -87.724463378)"
11432892,JB417740,09/01/2018 02:30:00 AM,010XX N CROSBY ST,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1822,018,27,8,05,1171841,1907186,2018,09/08/2018 04:01:32 PM,41.900775829,-87.644256705,"(41.900775829, -87.644256705)"
11449216,JB417475,09/01/2018 02:51:00 AM,040XX N ELSTON AVE,0620,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,false,false,1723,017,39,16,05,1151081,1926526,2018,09/20/2018 03:58:47 PM,41.954278702,-87.720001648,"(41.954278702, -87.720001648)"
11432759,JB417572,09/01/2018 03:00:00 AM,068XX S ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,0725,007,17,67,05,1166854,1859317,2018,09/08/2018 04:01:32 PM,41.769526997,-87.663944366,"(41.769526997, -87.663944366)"
11432678,JB417468,09/01/2018 03:43:00 AM,069XX S MAPLEWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0832,008,15,66,03,1160573,1858532,2018,09/08/2018 04:01:32 PM,41.767504682,-87.686989416,"(41.767504682, -87.686989416)"
