,id,stationName,lat,lon,program,adress,neighborhood,nbOnMap
0,1,Praça Luíza Távora,-3.7321944,-38.510347,Bicicletar,"Avenida Santos Dumont, 1546, ao lado da Coord. do Gov. do Estado do Ceará / Esquina Carlos Vasconcelos",Aldeota,Aldeota
1,2,José Vilar,-3.7341732,-38.504149,Bicicletar,"Rua José Vilar, lateral do 2353 (Restaurante Zahlé) / Esquina Avenida Santos Dumont",Dionísio Torres,Aldeota
2,3,Shopping Del Paseo,-3.7367176,-38.49683,Bicicletar,"Avenida Santos Dumont, 3131 (Shopping del Paseo) / Esquina Rua Leonardo Mota",Aldeota,
3,4,BNB Clube,-3.7386073,-38.491576,Bicicletar,"Avenida Santos Dumont, oposto ao BNB Clube / Esquina Rua Coronel Jucá",Aldeota,
4,5,Frei Mansueto,-3.7359524,-38.488797,Bicicletar,"Rua Dom Luís, 1400B / Esquina Rua Frei Mansueto",Meireles,
5,6,Livraria Cultura,-3.7351546,-38.492531,Bicicletar,"Rua Senador Virgílio Távora, lateral do número 1010 (Shopping Varanda) / Esquina Rua Dom Luís",Meireles,
6,7,Praça Portugal,-3.7336156,-38.496978,Bicicletar,"Praça Portugal, na calçada em frente a canteiro do Shopping Aldeota / Esquina Avenida Dom Luís",Aldeota,
7,8,Joaquim Nabuco,-3.7321014,-38.500273,Bicicletar,"Rua Joaquim Nabuco, 730 / Esquina Rua Dom Luís",Meireles,
8,9,Moreira da Rocha,-3.7267958,-38.506248,Bicicletar,"Rua Deputado Moreira da Rocha, lateral do número 475 / Esquina Rua Rui Barbosa",Meireles,
9,10,Campo do América,-3.7302816,-38.502894,Bicicletar,"Rua José Vilar, 540 / Esquina Rua Tenente Benévolo",Meireles,
10,11,Círculo Militar,-3.730343,-38.496304,Bicicletar,"Rua Canuto de Aguiar, 712B / Esquina Rua Desembargador Moreira",Meireles,
11,12,Ana Bilhar,-3.7308997,-38.491505,Bicicletar,"Rua Ana Bilhar, 1001 (Loja Terra Brasilis) / Esquina Avenida Senador Virgílio Távora",Meireles,
12,13,Aterrinho da Praia de Iracema,-3.7202276,-38.51166,Bicicletar,"Avenida Beira Mar, 916 / Esquina Rua João Cordeiro",Praia de Iracema,
13,14,Aterro Praia de Iracema,-3.7233893,-38.505394,Bicicletar,"Rua Rui Barbosa, 1680 (Boteco da Praia) / Esquina Avenida Beira Mar",Meireles,
