dia,bicicletar,minibicicletar,tecnica,viagens curtas,viagens longas
2014-12-16,354,0.0,0.0,22,0.0
2014-12-17,479,0.0,0.0,15,0.0
2014-12-18,488,0.0,0.0,28,0.0
2014-12-19,502,0.0,0.0,21,0.0
2014-12-20,521,0.0,0.0,22,0.0
2014-12-21,935,0.0,0.0,38,0.0
2014-12-22,660,0.0,0.0,24,0.0
2014-12-23,631,0.0,0.0,19,0.0
2014-12-24,339,0.0,0.0,10,2.0
2014-12-25,631,0.0,0.0,25,1.0
2014-12-26,784,0.0,0.0,27,0.0
2014-12-27,751,0.0,0.0,32,0.0
2014-12-28,1050,0.0,0.0,36,0.0
2014-12-29,864,0.0,0.0,42,1.0
2014-12-30,740,0.0,0.0,26,0.0
2014-12-31,404,0.0,0.0,8,2.0
2015-01-01,522,0.0,0.0,25,3.0
2015-01-02,760,0.0,0.0,26,2.0
2015-01-03,609,0.0,0.0,23,0.0
2015-01-04,1133,0.0,0.0,35,0.0
2015-01-05,834,0.0,0.0,31,0.0
2015-01-06,910,0.0,0.0,33,0.0
2015-01-07,813,0.0,0.0,51,0.0
2015-01-08,896,0.0,0.0,75,0.0
2015-01-09,784,0.0,0.0,25,0.0
2015-01-10,848,0.0,0.0,43,0.0
2015-01-11,955,0.0,0.0,36,0.0
2015-01-12,801,0.0,0.0,33,0.0
2015-01-13,929,0.0,0.0,34,0.0
2015-01-14,983,0.0,0.0,22,0.0
2015-01-15,837,0.0,0.0,24,0.0
2015-01-16,779,0.0,0.0,30,1.0
2015-01-17,864,0.0,0.0,30,0.0
2015-01-18,1014,0.0,0.0,73,1.0
2015-01-19,854,0.0,0.0,25,0.0
2015-01-20,972,0.0,0.0,22,0.0
2015-01-21,848,0.0,0.0,29,0.0
2015-01-22,888,0.0,0.0,44,0.0
2015-01-23,784,0.0,0.0,41,0.0
2015-01-24,805,0.0,0.0,17,0.0
2015-01-25,973,0.0,0.0,39,0.0
2015-01-26,858,0.0,0.0,24,0.0
2015-01-27,879,0.0,0.0,28,0.0
2015-01-28,894,0.0,0.0,43,0.0
2015-01-29,755,0.0,0.0,29,1.0
2015-01-30,746,0.0,0.0,41,0.0
2015-01-31,729,0.0,0.0,30,0.0
2015-02-01,973,0.0,0.0,54,1.0
2015-02-02,757,0.0,0.0,42,0.0
2015-02-03,828,0.0,0.0,41,0.0
2015-02-04,749,0.0,0.0,30,0.0
2015-02-05,690,0.0,0.0,48,0.0
2015-02-06,735,0.0,0.0,40,0.0
2015-02-07,659,0.0,0.0,35,0.0
2015-02-08,1005,0.0,0.0,54,0.0
2015-02-09,621,0.0,0.0,25,0.0
2015-02-10,661,0.0,0.0,27,0.0
2015-02-11,619,0.0,0.0,31,0.0
2015-02-12,563,0.0,0.0,16,0.0
2015-02-13,474,0.0,0.0,23,0.0
2015-02-14,576,0.0,0.0,31,0.0
2015-02-15,753,0.0,0.0,29,0.0
2015-02-16,737,0.0,0.0,21,1.0
2015-02-17,592,0.0,0.0,28,0.0
2015-02-18,678,0.0,0.0,25,0.0
2015-02-19,541,0.0,0.0,16,0.0
2015-02-20,574,0.0,0.0,20,1.0
2015-02-21,538,0.0,0.0,22,0.0
2015-02-22,782,0.0,0.0,21,0.0
2015-02-23,496,0.0,0.0,25,0.0
2015-02-24,529,0.0,0.0,34,0.0
2015-02-25,555,0.0,0.0,31,0.0
2015-02-26,678,0.0,0.0,28,0.0
2015-02-27,655,0.0,0.0,39,1.0
2015-02-28,602,0.0,0.0,25,1.0
2015-03-01,1149,0.0,0.0,73,1.0
2015-03-02,603,0.0,0.0,31,0.0
2015-03-03,778,0.0,0.0,52,0.0
2015-03-04,827,0.0,0.0,47,0.0
2015-03-05,817,0.0,0.0,48,0.0
2015-03-06,808,0.0,0.0,50,1.0
2015-03-07,616,0.0,0.0,41,2.0
2015-03-08,979,0.0,0.0,56,2.0
2015-03-09,745,0.0,0.0,44,0.0
2015-03-10,815,0.0,0.0,48,2.0
2015-03-11,974,0.0,0.0,66,0.0
2015-03-12,930,0.0,0.0,42,0.0
2015-03-13,1029,0.0,0.0,52,0.0
2015-03-14,1039,0.0,0.0,58,2.0
2015-03-15,1359,0.0,0.0,75,2.0
2015-03-16,999,0.0,0.0,54,0.0
2015-03-17,1170,0.0,0.0,50,0.0
2015-03-18,1111,0.0,0.0,61,0.0
2015-03-19,1366,0.0,0.0,76,0.0
2015-03-20,1146,0.0,0.0,72,0.0
2015-03-21,890,0.0,0.0,82,1.0
2015-03-22,1741,0.0,0.0,102,0.0
2015-03-23,1185,0.0,0.0,88,0.0
2015-03-24,1305,0.0,0.0,81,0.0
2015-03-25,2005,0.0,0.0,145,2.0
2015-03-26,1418,0.0,0.0,124,2.0
2015-03-27,1493,0.0,0.0,124,0.0
2015-03-28,1593,0.0,0.0,88,0.0
2015-03-29,1865,0.0,0.0,125,0.0
2015-03-30,1319,0.0,0.0,76,0.0
2015-03-31,1390,0.0,0.0,91,0.0
2015-04-01,1536,0.0,0.0,75,1.0
2015-04-02,1425,0.0,0.0,75,0.0
2015-04-03,1500,0.0,0.0,110,0.0
2015-04-04,1520,0.0,0.0,116,0.0
2015-04-05,1829,0.0,0.0,153,0.0
2015-04-06,1598,0.0,0.0,119,0.0
2015-04-07,1778,0.0,0.0,181,4.0
2015-04-08,1776,0.0,0.0,175,0.0
2015-04-09,1447,0.0,0.0,137,1.0
2015-04-10,1553,0.0,0.0,175,1.0
2015-04-11,1722,0.0,0.0,164,0.0
2015-04-12,1967,0.0,0.0,171,0.0
2015-04-13,1223,0.0,0.0,124,1.0
2015-04-14,1228,0.0,0.0,120,0.0
2015-04-15,1596,0.0,0.0,134,1.0
2015-04-16,1782,0.0,0.0,148,2.0
2015-04-17,1829,0.0,0.0,179,0.0
2015-04-18,1802,0.0,0.0,142,0.0
2015-04-19,2189,0.0,0.0,173,0.0
2015-04-20,1782,0.0,0.0,201,0.0
2015-04-21,2304,0.0,0.0,185,0.0
2015-04-22,1758,0.0,0.0,153,0.0
2015-04-23,1519,0.0,0.0,111,2.0
2015-04-24,800,0.0,0.0,49,0.0
2015-04-25,1863,0.0,11.0,172,0.0
2015-04-26,2092,0.0,0.0,129,0.0
2015-04-27,1723,0.0,0.0,90,0.0
2015-04-28,1787,0.0,0.0,151,0.0
2015-04-29,1728,0.0,0.0,184,0.0
2015-04-30,1682,0.0,0.0,200,0.0
2015-05-01,2071,0.0,0.0,205,1.0
2015-05-02,1689,0.0,0.0,138,0.0
2015-05-03,1526,0.0,0.0,138,1.0
