dia,M_3,F_3,O_3
2014-12-16,19,3,0.0
2014-12-17,11,4,0.0
2014-12-18,15,13,0.0
2014-12-19,18,3,0.0
2014-12-20,18,4,0.0
2014-12-21,25,13,0.0
2014-12-22,19,5,0.0
2014-12-23,14,5,0.0
2014-12-24,4,6,0.0
2014-12-25,23,2,0.0
2014-12-26,21,6,0.0
2014-12-27,16,16,0.0
2014-12-28,21,15,0.0
2014-12-29,19,23,0.0
2014-12-30,17,9,0.0
2014-12-31,7,1,0.0
2015-01-01,15,10,0.0
2015-01-02,14,12,0.0
2015-01-03,15,8,0.0
2015-01-04,15,20,0.0
2015-01-05,20,10,1.0
2015-01-06,15,18,0.0
2015-01-07,31,20,0.0
2015-01-08,43,32,0.0
2015-01-09,17,8,0.0
2015-01-10,27,16,0.0
2015-01-11,24,12,0.0
2015-01-12,21,11,1.0
2015-01-13,21,12,1.0
2015-01-14,13,9,0.0
2015-01-15,17,7,0.0
2015-01-16,19,11,0.0
2015-01-17,16,14,0.0
2015-01-18,38,35,0.0
2015-01-19,17,8,0.0
2015-01-20,13,8,1.0
2015-01-21,21,8,0.0
2015-01-22,26,18,0.0
2015-01-23,20,21,0.0
2015-01-24,10,7,0.0
2015-01-25,24,15,0.0
2015-01-26,17,7,0.0
2015-01-27,13,15,0.0
2015-01-28,26,17,0.0
2015-01-29,21,8,0.0
2015-01-30,23,18,0.0
2015-01-31,22,8,0.0
2015-02-01,36,18,0.0
2015-02-02,24,18,0.0
2015-02-03,24,17,0.0
2015-02-04,22,8,0.0
2015-02-05,37,11,0.0
2015-02-06,22,18,0.0
2015-02-07,24,11,0.0
2015-02-08,28,26,0.0
2015-02-09,14,11,0.0
2015-02-10,18,9,0.0
2015-02-11,21,10,0.0
2015-02-12,9,7,0.0
2015-02-13,14,9,0.0
2015-02-14,16,15,0.0
2015-02-15,20,9,0.0
2015-02-16,11,10,0.0
2015-02-17,15,13,0.0
2015-02-18,19,6,0.0
2015-02-19,8,8,0.0
2015-02-20,11,9,0.0
2015-02-21,12,10,0.0
2015-02-22,11,10,0.0
2015-02-23,13,12,0.0
2015-02-24,21,13,0.0
2015-02-25,23,8,0.0
2015-02-26,21,7,0.0
2015-02-27,23,16,0.0
2015-02-28,15,10,0.0
2015-03-01,39,34,0.0
2015-03-02,20,11,0.0
2015-03-03,34,18,0.0
2015-03-04,26,21,0.0
2015-03-05,36,12,0.0
2015-03-06,28,22,0.0
2015-03-07,26,15,0.0
2015-03-08,39,17,0.0
2015-03-09,34,10,0.0
2015-03-10,31,17,0.0
2015-03-11,52,14,0.0
2015-03-12,26,16,0.0
2015-03-13,31,21,0.0
2015-03-14,37,21,0.0
2015-03-15,49,26,0.0
2015-03-16,32,22,0.0
2015-03-17,33,17,0.0
2015-03-18,41,20,0.0
2015-03-19,48,28,0.0
2015-03-20,43,29,0.0
2015-03-21,57,25,0.0
2015-03-22,66,36,0.0
2015-03-23,53,35,0.0
2015-03-24,54,27,0.0
2015-03-25,97,48,0.0
2015-03-26,81,42,1.0
2015-03-27,83,41,0.0
2015-03-28,47,41,0.0
2015-03-29,67,58,0.0
2015-03-30,48,28,0.0
2015-03-31,62,29,0.0
2015-04-01,45,30,0.0
2015-04-02,49,26,0.0
2015-04-03,70,39,1.0
2015-04-04,74,42,0.0
2015-04-05,87,65,1.0
2015-04-06,83,36,0.0
2015-04-07,125,56,0.0
2015-04-08,121,54,0.0
2015-04-09,101,36,0.0
2015-04-10,122,53,0.0
2015-04-11,103,61,0.0
2015-04-12,100,71,0.0
2015-04-13,87,37,0.0
2015-04-14,76,44,0.0
2015-04-15,91,42,1.0
2015-04-16,96,52,0.0
2015-04-17,134,44,1.0
2015-04-18,85,57,0.0
2015-04-19,109,64,0.0
2015-04-20,137,63,1.0
2015-04-21,103,82,0.0
2015-04-22,92,60,1.0
2015-04-23,75,36,0.0
2015-04-24,36,13,0.0
2015-04-25,103,69,0.0
2015-04-26,70,59,0.0
2015-04-27,56,34,0.0
2015-04-28,88,63,0.0
2015-04-29,124,60,0.0
2015-04-30,154,46,0.0
2015-05-01,128,77,0.0
2015-05-02,88,49,1.0
2015-05-03,67,71,0.0
2015-05-04,168,63,1.0
2015-05-05,121,52,0.0
2015-05-06,133,68,0.0
2015-05-07,152,80,0.0
2015-05-08,170,63,0.0
2015-05-09,94,45,0.0
2015-05-10,79,63,1.0
2015-05-11,125,73,0.0
2015-05-12,150,88,0.0
2015-05-13,111,69,0.0
2015-05-14,127,67,0.0
2015-05-15,117,64,0.0
2015-05-16,118,65,2.0
2015-05-17,143,120,0.0
2015-05-18,158,96,0.0
2015-05-19,186,109,0.0
2015-05-20,125,65,0.0
2015-05-21,147,82,1.0
2015-05-22,112,71,0.0
2015-05-23,121,67,0.0
2015-05-24,84,80,0.0
2015-05-25,121,78,0.0
2015-05-26,137,76,0.0
2015-05-27,153,101,1.0
2015-05-28,141,70,2.0
2015-05-29,129,59,0.0
2015-05-30,107,56,0.0
2015-05-31,100,84,0.0
2015-06-01,171,87,0.0
2015-06-02,129,61,0.0
2015-06-03,113,52,0.0
2015-06-04,120,76,0.0
2015-06-05,132,79,0.0
2015-06-06,84,41,0.0
2015-06-07,92,73,1.0
2015-06-08,91,50,0.0
2015-06-09,152,82,0.0
2015-06-10,164,82,0.0
2015-06-11,129,71,0.0
2015-06-12,158,46,0.0
2015-06-13,85,39,0.0
2015-06-14,86,65,0.0
2015-06-15,142,88,0.0
2015-06-16,155,68,1.0
2015-06-17,125,80,0.0
2015-06-18,165,49,2.0
2015-06-19,203,80,0.0
2015-06-20,131,58,0.0
2015-06-21,115,91,1.0
2015-06-22,130,50,0.0
2015-06-23,158,62,0.0
2015-06-24,177,74,0.0
2015-06-25,111,50,0.0
2015-06-26,116,56,0.0
2015-06-27,108,37,0.0
2015-06-28,86,57,0.0
2015-06-29,142,64,0.0
2015-06-30,138,73,0.0
2015-07-01,169,76,1.0
2015-07-02,188,75,0.0
2015-07-03,137,53,0.0
2015-07-04,124,57,1.0
2015-07-05,79,37,0.0
2015-07-06,196,88,0.0
2015-07-07,213,89,1.0
2015-07-08,182,88,0.0
2015-07-09,182,93,0.0
2015-07-10,130,64,2.0
2015-07-11,102,39,0.0
2015-07-12,104,61,0.0
2015-07-13,83,49,0.0
2015-07-14,119,59,2.0
2015-07-15,154,72,0.0
2015-07-16,126,54,1.0
2015-07-17,112,43,0.0
2015-07-18,119,54,1.0
2015-07-19,74,45,0.0
2015-07-20,106,69,0.0
2015-07-21,122,54,0.0
2015-07-22,110,59,0.0
2015-07-23,116,60,0.0
2015-07-24,121,77,0.0
2015-07-25,116,52,0.0
2015-07-26,92,66,0.0
2015-07-27,120,44,0.0
