id,lat,lon,program,neighborhood,etapa,coordinates,new_neighborhood
1,-3.7321943999999996,-38.510346999999996,Bicicletar,Aldeota,1,POINT (-38.510347 -3.7321944),ALDEOTA
2,-3.7341732000000003,-38.504149,Bicicletar,Dionísio Torres,1,POINT (-38.504149 -3.7341732),ALDEOTA
3,-3.7367176,-38.496829999999996,Bicicletar,Aldeota,1,POINT (-38.49683 -3.7367176),ALDEOTA
4,-3.7386072999999995,-38.491576,Bicicletar,Aldeota,1,POINT (-38.491576 -3.7386073),ALDEOTA
5,-3.7359524,-38.488797,Bicicletar,Meireles,1,POINT (-38.488797 -3.7359524),MEIRELES
6,-3.7351546,-38.492531,Bicicletar,Meireles,1,POINT (-38.492531 -3.7351546),ALDEOTA
7,-3.7336156000000003,-38.496978000000006,Bicicletar,Aldeota,1,POINT (-38.49697800000001 -3.7336156),ALDEOTA
8,-3.7321013999999995,-38.500273,Bicicletar,Meireles,1,POINT (-38.500273 -3.732101399999999),MEIRELES
9,-3.7267957999999997,-38.506248,Bicicletar,Meireles,1,POINT (-38.506248 -3.7267958),MEIRELES
10,-3.7302816,-38.502894,Bicicletar,Meireles,1,POINT (-38.502894 -3.7302816),MEIRELES
11,-3.730343,-38.496303999999995,Bicicletar,Meireles,1,POINT (-38.49630399999999 -3.730343),MEIRELES
12,-3.7308997,-38.491505,Bicicletar,Meireles,1,POINT (-38.491505 -3.7308997),MEIRELES
13,-3.7202276,-38.51166,Bicicletar,Praia de Iracema,1,POINT (-38.51166 -3.7202276),PRAIA DE IRACEMA
14,-3.7233892999999996,-38.505394,Bicicletar,Meireles,1,POINT (-38.505394 -3.7233893),MEIRELES
15,-3.7260009,-38.495740999999995,Bicicletar,Praia de Iracema,1,POINT (-38.495741 -3.7260009),MEIRELES
16,-3.731114,-38.528349,Bicicletar,Centro,2,POINT (-38.528349 -3.731114),CENTRO
17,-3.7257252,-38.525549,Bicicletar,Centro,2,POINT (-38.525549 -3.7257252),CENTRO
18,-3.7276737,-38.527373,Bicicletar,Centro,2,POINT (-38.527373 -3.7276737),CENTRO
19,-3.7315373,-38.526595,Bicicletar,Centro,2,POINT (-38.526595 -3.7315373),CENTRO
20,-3.7218335,-38.519528,Bicicletar,Praia de Iracema,2,POINT (-38.519528 -3.7218335),CENTRO
21,-3.7238917999999996,-38.514743,Bicicletar,Centro,2,POINT (-38.514743 -3.7238918),CENTRO
22,-3.7266326000000003,-38.513479,Bicicletar,Meireles,2,POINT (-38.513479 -3.7266326),CENTRO
23,-3.7307919000000003,-38.514873,Bicicletar,Centro,3,POINT (-38.514873 -3.7307919),CENTRO
24,-3.7368529,-38.509719,Bicicletar,Aldeota,2,POINT (-38.509719 -3.7368529),ALDEOTA
25,-3.7372182,-38.501927,Bicicletar,Aldeota,2,POINT (-38.501927 -3.7372182),ALDEOTA
