year,month,day,avg_tmp
2014,01,01,28.267
2014,01,02,27.471
2014,01,03,26.846
2014,01,04,26.988
2014,01,05,27.342
2014,01,06,27.575
2014,01,07,26.892
2014,01,08,27.817
2014,01,09,27.504
2014,01,10,27.683
2014,01,11,28.225
2014,01,12,26.896
2014,01,13,27.508
2014,01,14,27.733
2014,01,15,28.212
2014,01,16,28.179
2014,01,17,28.021
2014,01,18,28.175
2014,01,19,27.996
2014,01,20,27.896
2014,01,21,27.933
2014,01,22,28.092
2014,01,23,28.375
2014,01,24,28.175
2014,01,25,27.671
2014,01,26,27.804
2014,01,27,28.067
2014,01,28,28.579
2014,01,29,28.713
2014,01,30,
2014,01,31,26.858
2014,02,01,27.612
2014,02,02,27.817
2014,02,03,27.717
2014,02,04,25.550
2014,02,05,26.650
2014,02,06,27.033
2014,02,07,27.483
2014,02,08,27.113
2014,02,09,27.308
2014,02,10,27.892
2014,02,11,27.725
2014,02,12,27.662
2014,02,13,26.804
2014,02,14,28.058
2014,02,15,27.554
2014,02,16,26.996
2014,02,17,25.529
2014,02,18,27.017
2014,02,19,26.350
2014,02,20,27.167
2014,02,21,27.688
2014,02,22,27.617
2014,02,23,27.546
2014,02,24,28.050
2014,02,25,27.717
2014,02,26,27.608
2014,02,27,27.892
2014,02,28,27.379
2014,03,01,27.396
2014,03,02,27.646
2014,03,03,28.046
2014,03,04,27.004
2014,03,05,27.442
2014,03,06,27.058
2014,03,07,27.367
2014,03,08,27.617
2014,03,09,27.404
2014,03,10,26.608
2014,03,11,26.983
2014,03,12,27.192
2014,03,13,26.804
2014,03,14,27.133
2014,03,15,26.967
2014,03,16,26.637
2014,03,17,25.908
2014,03,18,27.133
2014,03,19,26.558
2014,03,20,27.821
2014,03,21,28.454
2014,03,22,28.179
2014,03,23,28.375
2014,03,24,28.233
2014,03,25,28.467
2014,03,26,27.729
2014,03,27,27.462
2014,03,28,26.521
2014,03,29,27.108
2014,03,30,26.458
2014,03,31,25.875
2014,04,01,25.708
2014,04,02,25.558
2014,04,03,25.954
2014,04,04,27.496
2014,04,05,26.900
2014,04,06,27.262
2014,04,07,27.275
2014,04,08,26.225
2014,04,09,25.496
2014,04,10,27.050
2014,04,11,27.408
2014,04,12,26.742
2014,04,13,27.987
2014,04,14,27.792
2014,04,15,26.642
2014,04,16,26.475
2014,04,17,25.925
2014,04,18,25.550
2014,04,19,27.521
2014,04,20,28.296
2014,04,21,27.925
2014,04,22,27.596
2014,04,23,27.592
2014,04,24,27.838
2014,04,25,28.329
2014,04,26,27.346
2014,04,27,27.592
2014,04,28,25.983
2014,04,29,26.188
2014,04,30,27.375
2014,05,01,25.792
2014,05,02,27.229
2014,05,03,27.229
2014,05,04,27.062
2014,05,05,27.046
2014,05,06,26.917
2014,05,07,27.446
2014,05,08,27.275
2014,05,09,27.429
2014,05,10,26.283
2014,05,11,25.671
2014,05,12,25.955
2014,05,13,27.046
2014,05,14,
2014,05,15,
2014,05,16,26.833
2014,05,17,27.167
2014,05,18,27.250
2014,05,19,27.121
2014,05,20,27.213
2014,05,21,25.712
2014,05,22,26.963
2014,05,23,27.250
2014,05,24,27.225
2014,05,25,27.133
2014,05,26,26.892
2014,05,27,27.158
2014,05,28,26.208
2014,05,29,26.904
2014,05,30,26.862
2014,05,31,26.550
2014,06,01,26.621
2014,06,02,26.762
2014,06,03,27.117
2014,06,04,27.629
2014,06,05,27.867
2014,06,06,27.775
2014,06,07,27.046
2014,06,08,27.092
2014,06,09,27.062
2014,06,10,27.746
2014,06,11,27.825
2014,06,12,27.217
2014,06,13,27.017
2014,06,14,27.050
2014,06,15,25.600
2014,06,16,26.883
2014,06,17,27.283
2014,06,18,27.642
2014,06,19,27.379
2014,06,20,27.533
2014,06,21,27.225
2014,06,22,26.754
2014,06,23,27.254
2014,06,24,26.654
2014,06,25,27.475
2014,06,26,27.213
2014,06,27,26.221
2014,06,28,26.912
2014,06,29,27.021
2014,06,30,26.888
2014,07,01,26.875
2014,07,02,27.492
2014,07,03,26.287
2014,07,04,25.792
2014,07,05,25.875
2014,07,06,26.946
2014,07,07,27.588
2014,07,08,26.650
2014,07,09,26.992
2014,07,10,26.700
2014,07,11,26.617
2014,07,12,25.838
2014,07,13,26.650
2014,07,14,26.688
2014,07,15,26.821
2014,07,16,26.558
2014,07,17,26.521
2014,07,18,26.471
2014,07,19,26.683
2014,07,20,26.833
2014,07,21,27.025
2014,07,22,26.433
2014,07,23,26.729
2014,07,24,26.258
2014,07,25,26.250
2014,07,26,26.567
2014,07,27,26.883
2014,07,28,26.625
2014,07,29,26.713
2014,07,30,27.021
2014,07,31,26.550
2014,08,01,26.492
2014,08,02,27.433
2014,08,03,27.438
2014,08,04,26.712
2014,08,05,26.779
2014,08,06,27.046
2014,08,07,27.275
2014,08,08,27.258
2014,08,09,27.279
2014,08,10,27.371
2014,08,11,27.250
2014,08,12,26.762
2014,08,13,26.787
2014,08,14,27.346
2014,08,15,27.133
2014,08,16,26.521
2014,08,17,26.917
2014,08,18,27.000
2014,08,19,26.950
2014,08,20,26.825
2014,08,21,27.054
2014,08,22,27.225
2014,08,23,26.958
2014,08,24,27.033
2014,08,25,26.967
2014,08,26,26.725
2014,08,27,
2014,08,28,26.400
2014,08,29,27.288
2014,08,30,27.375
2014,08,31,27.325
2014,09,01,26.567
2014,09,02,
2014,09,03,27.104
2014,09,04,27.229
2014,09,05,27.292
2014,09,06,27.758
2014,09,07,27.942
2014,09,08,27.542
2014,09,09,
2014,09,10,27.450
2014,09,11,27.392
2014,09,12,27.350
2014,09,13,27.350
2014,09,14,27.667
2014,09,15,27.400
2014,09,16,27.283
2014,09,17,26.688
2014,09,18,27.012
2014,09,19,26.796
2014,09,20,27.008
2014,09,21,27.271
2014,09,22,27.371
2014,09,23,27.575
2014,09,24,27.650
2014,09,25,27.350
2014,09,26,27.417
2014,09,27,27.333
2014,09,28,27.171
2014,09,29,27.479
2014,09,30,27.183
2014,10,01,27.512
2014,10,02,27.471
2014,10,03,27.629
2014,10,04,27.900
2014,10,05,27.904
2014,10,06,28.229
2014,10,07,26.788
2014,10,08,27.842
2014,10,09,27.817
2014,10,10,28.188
2014,10,11,28.192
2014,10,12,27.746
2014,10,13,27.679
2014,10,14,27.788
2014,10,15,27.592
2014,10,16,27.921
2014,10,17,27.975
2014,10,18,27.517
2014,10,19,27.750
2014,10,20,27.596
2014,10,21,27.404
2014,10,22,27.558
2014,10,23,27.375
2014,10,24,27.213
2014,10,25,27.646
2014,10,26,27.625
2014,10,27,27.767
2014,10,28,27.404
2014,10,29,27.608
2014,10,30,27.387
2014,10,31,27.738
2014,11,01,27.663
2014,11,02,27.671
2014,11,03,27.067
2014,11,04,27.383
2014,11,05,27.521
2014,11,06,27.679
2014,11,07,27.729
2014,11,08,27.433
2014,11,09,27.508
2014,11,10,27.496
2014,11,11,27.658
2014,11,12,27.683
2014,11,13,27.642
2014,11,14,27.658
2014,11,15,27.942
2014,11,16,27.829
2014,11,17,28.021
2014,11,18,27.788
2014,11,19,27.529
2014,11,20,27.821
2014,11,21,27.104
2014,11,22,27.408
2014,11,23,27.654
2014,11,24,27.712
2014,11,25,28.037
2014,11,26,27.538
2014,11,27,
2014,11,28,27.171
2014,11,29,27.450
2014,11,30,27.692
2014,12,01,27.896
2014,12,02,27.833
2014,12,03,28.217
2014,12,04,27.317
2014,12,05,27.487
2014,12,06,27.579
2014,12,07,27.838
2014,12,08,28.146
2014,12,09,28.046
2014,12,10,27.617
2014,12,11,27.917
2014,12,12,27.950
2014,12,13,27.829
2014,12,14,27.562
2014,12,15,27.767
2014,12,16,27.175
2014,12,17,27.562
2014,12,18,27.471
2014,12,19,27.975
2014,12,20,28.125
2014,12,21,27.887
2014,12,22,28.083
2014,12,23,27.875
2014,12,24,27.867
2014,12,25,27.729
2014,12,26,27.338
2014,12,27,28.088
2014,12,28,27.738
2014,12,29,
2014,12,30,27.092
2014,12,31,27.387
2015,01,01,27.575
2015,01,02,27.183
2015,01,03,
2015,01,04,
2015,01,05,
2015,01,06,27.087
2015,01,07,26.875
2015,01,08,27.283
2015,01,09,27.629
2015,01,10,27.938
2015,01,11,27.379
2015,01,12,27.858
2015,01,13,27.583
2015,01,14,27.804
2015,01,15,27.938
