year,month,day,max_tmp
2014,01,01,30.400
2014,01,02,29.400
2014,01,03,30.700
2014,01,04,31.600
2014,01,05,30.600
2014,01,06,29.700
2014,01,07,31.600
2014,01,08,31.600
2014,01,09,31.700
2014,01,10,32.200
2014,01,11,30.000
2014,01,12,31.300
2014,01,13,31.600
2014,01,14,32.600
2014,01,15,32.000
2014,01,16,31.800
2014,01,17,31.800
2014,01,18,31.400
2014,01,19,31.300
2014,01,20,32.000
2014,01,21,32.700
2014,01,22,32.200
2014,01,23,32.000
2014,01,24,30.200
2014,01,25,33.000
2014,01,26,32.000
2014,01,27,32.900
2014,01,28,33.200
2014,01,29,
2014,01,30,31.200
2014,01,31,31.900
2014,02,01,31.800
2014,02,02,31.700
2014,02,03,28.800
2014,02,04,30.900
2014,02,05,
2014,02,06,
2014,02,07,
2014,02,08,30.900
2014,02,09,31.400
2014,02,10,31.800
2014,02,11,31.200
2014,02,12,30.200
2014,02,13,31.400
2014,02,14,30.000
2014,02,15,30.800
2014,02,16,28.400
2014,02,17,31.200
2014,02,18,29.900
2014,02,19,29.900
2014,02,20,31.200
2014,02,21,31.400
2014,02,22,31.500
2014,02,23,32.200
2014,02,24,31.900
2014,02,25,31.600
2014,02,26,31.600
2014,02,27,31.700
2014,02,28,31.800
2014,03,01,32.200
2014,03,02,32.200
2014,03,03,30.000
2014,03,04,31.600
2014,03,05,30.900
2014,03,06,31.600
2014,03,07,31.600
2014,03,08,30.900
2014,03,09,29.700
2014,03,10,30.800
2014,03,11,31.200
2014,03,12,31.400
2014,03,13,31.400
2014,03,14,30.600
2014,03,15,31.000
2014,03,16,28.800
2014,03,17,30.400
2014,03,18,30.700
2014,03,19,32.000
2014,03,20,32.200
2014,03,21,31.600
2014,03,22,32.200
2014,03,23,32.300
2014,03,24,32.600
2014,03,25,31.800
2014,03,26,32.000
2014,03,27,29.800
2014,03,28,31.200
2014,03,29,29.700
2014,03,30,29.900
2014,03,31,28.800
2014,04,01,28.000
2014,04,02,29.700
2014,04,03,31.800
2014,04,04,31.600
2014,04,05,31.200
2014,04,06,31.900
2014,04,07,30.700
2014,04,08,29.600
2014,04,09,31.600
2014,04,10,31.800
2014,04,11,30.900
2014,04,12,31.600
2014,04,13,32.000
2014,04,14,31.500
2014,04,15,29.400
2014,04,16,29.400
2014,04,17,28.400
2014,04,18,31.800
2014,04,19,32.300
2014,04,20,31.900
2014,04,21,31.800
2014,04,22,31.700
2014,04,23,31.600
2014,04,24,31.800
2014,04,25,31.800
2014,04,26,32.200
2014,04,27,29.800
2014,04,28,30.300
2014,04,29,30.700
2014,04,30,28.400
2014,05,01,31.900
2014,05,02,31.600
2014,05,03,31.400
2014,05,04,31.400
2014,05,05,30.500
2014,05,06,31.600
2014,05,07,31.500
2014,05,08,30.800
2014,05,09,29.100
2014,05,10,29.800
2014,05,11,31.600
2014,05,12,30.600
2014,05,13,
2014,05,14,
2014,05,15,31.600
2014,05,16,31.800
2014,05,17,31.800
2014,05,18,31.600
2014,05,19,31.400
2014,05,20,28.700
2014,05,21,31.400
2014,05,22,31.000
2014,05,23,31.700
2014,05,24,31.200
2014,05,25,31.400
2014,05,26,30.400
2014,05,27,29.800
2014,05,28,31.200
2014,05,29,31.900
2014,05,30,31.800
2014,05,31,31.600
2014,06,01,31.400
2014,06,02,31.400
2014,06,03,30.800
2014,06,04,31.100
2014,06,05,31.400
2014,06,06,30.900
2014,06,07,30.700
2014,06,08,31.400
2014,06,09,
2014,06,10,
2014,06,11,
2014,06,12,31.000
2014,06,13,31.400
2014,06,14,28.600
2014,06,15,31.100
2014,06,16,30.000
2014,06,17,
2014,06,18,31.600
2014,06,19,30.700
2014,06,20,
2014,06,21,
2014,06,22,
2014,06,23,30.800
2014,06,24,31.400
2014,06,25,30.900
2014,06,26,29.800
2014,06,27,31.100
2014,06,28,30.900
2014,06,29,31.400
2014,06,30,
2014,07,01,30.800
2014,07,02,30.200
2014,07,03,30.600
2014,07,04,30.900
2014,07,05,31.400
2014,07,06,
2014,07,07,30.700
2014,07,08,31.500
2014,07,09,31.300
2014,07,10,32.000
2014,07,11,28.600
2014,07,12,30.900
2014,07,13,31.100
2014,07,14,31.400
2014,07,15,30.900
2014,07,16,31.200
2014,07,17,30.800
2014,07,18,31.000
2014,07,19,30.900
2014,07,20,31.200
2014,07,21,30.000
2014,07,22,31.900
2014,07,23,30.200
2014,07,24,30.900
2014,07,25,31.700
2014,07,26,
2014,07,27,31.600
2014,07,28,32.100
2014,07,29,31.200
2014,07,30,32.000
2014,07,31,31.100
2014,08,01,32.200
2014,08,02,31.000
2014,08,03,30.800
2014,08,04,31.200
2014,08,05,31.700
2014,08,06,31.800
2014,08,07,32.000
2014,08,08,31.000
2014,08,09,31.700
2014,08,10,31.400
2014,08,11,
2014,08,12,31.900
2014,08,13,32.600
2014,08,14,32.200
2014,08,15,32.700
2014,08,16,31.600
2014,08,17,32.200
2014,08,18,31.900
2014,08,19,31.800
2014,08,20,31.100
2014,08,21,31.700
2014,08,22,31.400
2014,08,23,32.100
2014,08,24,31.200
2014,08,25,30.600
2014,08,26,28.900
2014,08,27,30.900
2014,08,28,31.300
2014,08,29,31.900
2014,08,30,31.700
2014,08,31,31.200
2014,09,01,30.900
2014,09,02,31.800
2014,09,03,31.200
2014,09,04,31.500
2014,09,05,31.900
2014,09,06,
2014,09,07,32.400
2014,09,08,31.000
2014,09,09,32.000
2014,09,10,31.800
2014,09,11,31.400
2014,09,12,32.600
2014,09,13,32.200
2014,09,14,31.700
2014,09,15,31.600
2014,09,16,30.700
2014,09,17,31.600
2014,09,18,30.800
2014,09,19,31.400
2014,09,20,32.000
2014,09,21,30.400
2014,09,22,31.900
2014,09,23,31.900
2014,09,24,31.800
2014,09,25,31.600
2014,09,26,31.700
2014,09,27,31.200
2014,09,28,
2014,09,29,
2014,09,30,
2014,10,01,31.500
2014,10,02,31.700
2014,10,03,32.400
2014,10,04,32.400
2014,10,05,
2014,10,06,32.000
2014,10,07,31.900
2014,10,08,
2014,10,09,
2014,10,10,
2014,10,11,32.500
2014,10,12,31.800
2014,10,13,32.200
2014,10,14,31.700
2014,10,15,32.600
2014,10,16,
2014,10,17,32.200
2014,10,18,31.600
2014,10,19,32.000
2014,10,20,31.500
2014,10,21,31.800
2014,10,22,32.000
2014,10,23,31.600
2014,10,24,32.400
2014,10,25,31.600
2014,10,26,32.500
2014,10,27,31.800
2014,10,28,32.000
2014,10,29,31.700
2014,10,30,32.300
2014,10,31,31.900
2014,11,01,32.200
2014,11,02,31.000
2014,11,03,31.600
2014,11,04,32.300
2014,11,05,31.600
2014,11,06,32.000
2014,11,07,31.700
2014,11,08,31.800
2014,11,09,31.700
2014,11,10,31.000
2014,11,11,32.000
2014,11,12,32.400
2014,11,13,32.600
2014,11,14,32.400
2014,11,15,32.200
2014,11,16,32.400
2014,11,17,32.200
2014,11,18,31.500
2014,11,19,31.900
2014,11,20,31.600
2014,11,21,32.600
2014,11,22,31.900
2014,11,23,32.300
2014,11,24,31.700
2014,11,25,31.600
2014,11,26,30.600
2014,11,27,32.200
2014,11,28,32.000
2014,11,29,31.400
2014,11,30,32.700
2014,12,01,32.000
2014,12,02,32.300
2014,12,03,31.800
2014,12,04,31.000
2014,12,05,31.900
2014,12,06,32.100
2014,12,07,32.000
2014,12,08,31.800
2014,12,09,31.200
2014,12,10,31.800
2014,12,11,32.700
2014,12,12,31.900
2014,12,13,31.400
2014,12,14,32.200
2014,12,15,31.000
2014,12,16,31.900
2014,12,17,32.400
2014,12,18,32.900
2014,12,19,32.100
2014,12,20,32.000
2014,12,21,32.000
2014,12,22,31.500
2014,12,23,31.800
2014,12,24,31.200
2014,12,25,30.600
2014,12,26,31.600
2014,12,27,31.600
2014,12,28,31.000
2014,12,29,31.200
2014,12,30,31.300
2014,12,31,31.600
2015,01,01,31.600
2015,01,02,
2015,01,03,29.300
2015,01,04,31.200
2015,01,05,30.800
2015,01,06,30.200
2015,01,07,30.600
2015,01,08,31.400
2015,01,09,31.400
2015,01,10,30.200
2015,01,11,31.400
2015,01,12,31.400
2015,01,13,32.000
2015,01,14,32.200
2015,01,15,32.500
2015,01,16,32.000
2015,01,17,31.600
2015,01,18,31.800
2015,01,19,32.300
2015,01,20,31.800
2015,01,21,32.100
2015,01,22,31.800
