,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,weekday,holiday,workingday,avg_pr,max_pr,min_pr,avg_tmp,min_tmp,max_tmp
2014-12-16,229.0,125.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,1,0,1,4.966666666666666,14.2,0.0,27.427500000000002,24.2,31.4
2014-12-17,308.0,171.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,2,0,1,0.0,0.0,0.0,27.551,25.0,32.05
2014-12-18,314.0,172.0,1.0,15.0,13.0,0.0,0.0,0.0,0.0,3,0,1,0.6,1.8,0.0,27.8855,23.55,32.45
2014-12-19,339.0,162.0,1.0,18.0,3.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.9475,25.5,32.1
2014-12-20,317.0,200.0,4.0,18.0,4.0,0.0,0.0,0.0,0.0,5,0,1,0.0,0.0,0.0,28.0125,25.8,32.0
2014-12-21,527.0,406.0,2.0,25.0,13.0,0.0,0.0,0.0,0.0,6,0,0,0.26666666666666666,0.6,0.0,27.8635,24.9,32.1
2014-12-22,408.0,252.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,27.9215,25.8,31.8
2014-12-23,413.0,218.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.8275,25.85,31.700000000000003
2014-12-24,217.0,120.0,1.0,4.0,6.0,0.0,1.0,1.0,0.0,2,0,1,0.0,0.0,0.0,27.8035,25.549999999999997,31.45
2014-12-25,373.0,256.0,2.0,23.0,2.0,0.0,0.0,1.0,0.0,3,1,0,0.0,0.0,0.0,27.5245,25.8,31.05
2014-12-26,475.0,306.0,3.0,21.0,6.0,0.0,0.0,0.0,0.0,4,0,1,0.0,0.0,0.0,27.719,25.35,31.200000000000003
2014-12-27,407.0,344.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,5,0,1,1.1666666666666667,3.5,0.0,27.924,25.65,31.6
2014-12-28,564.0,480.0,3.0,21.0,15.0,0.0,0.0,0.0,0.0,6,0,0,1.3666666666666665,3.8,0.0,27.738000000000003,25.7,31.2
2014-12-29,509.0,353.0,2.0,19.0,23.0,0.0,1.0,0.0,0.0,0,0,1,10.333333333333334,24.0,0.0,27.22,23.1,31.049999999999997
2014-12-30,417.0,318.0,5.0,17.0,9.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,27.266,23.549999999999997,31.3
2014-12-31,232.0,172.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,2,0,1,4.65,18.0,0.0,27.3735,24.85,31.3
2015-01-01,274.0,243.0,5.0,15.0,10.0,0.0,3.0,0.0,0.0,3,1,0,0.0,0.0,0.0,27.377499999999998,24.7,31.6
2015-01-02,452.0,308.0,0.0,14.0,12.0,0.0,1.0,1.0,0.0,4,0,1,0.0,0.0,0.0,27.183000000000003,22.65,31.6
2015-01-03,353.0,256.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,5,0,1,28.25,66.6,0.0,,22.85,29.3
2015-01-04,575.0,558.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,6,1,0,40.050000000000004,132.0,0.0,26.64,23.1,31.2
2015-01-05,496.0,335.0,3.0,20.0,10.0,1.0,0.0,0.0,0.0,0,1,0,0.025,0.1,0.0,27.26,22.4,30.8
2015-01-06,522.0,386.0,2.0,15.0,18.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,26.8735,24.549999999999997,30.549999999999997
2015-01-07,472.0,341.0,0.0,31.0,20.0,0.0,0.0,0.0,0.0,2,0,1,6.975,16.8,0.0,26.9075,24.4,30.35
