quantidade,tempo
4,0
185,1
4206,2
17318,3
36676,4
45577,5
52028,6
55477,7
56555,8
56810,9
56125,10
55161,11
52784,12
50174,13
47194,14
44503,15
41995,16
39502,17
37079,18
34947,19
32419,20
31426,21
29239,22
27493,23
26201,24
24958,25
23877,26
22703,27
21682,28
21077,29
20372,30
19742,31
19288,32
18604,33
18023,34
17415,35
17113,36
16660,37
16474,38
15987,39
15520,40
15148,41
14578,42
14519,43
14217,44
13784,45
13525,46
13163,47
12891,48
12858,49
12422,50
11796,51
11482,52
11179,53
10746,54
10235,55
9582,56
8864,57
8505,58
7650,59
1746,60
