ano,mes,M,F,O
2014,12,6049,4055,29
2015,01,14883,11309,64
2015,02,11061,7536,23
2015,03,21807,13613,44
2015,04,31545,18702,91
2015,05,32936,19808,58
2015,06,31286,16863,45
2015,07,30536,16708,57
2015,08,29786,15611,40
2015,09,28626,15167,58
2015,10,30194,15486,63
2015,11,39914,21363,25
2015,12,36824,18595,25
2016,01,31189,15878,33
2016,02,27450,12681,37
2016,03,31515,14297,19
2016,04,31171,14387,17
2016,05,42426,21315,26
2016,06,42864,22377,44
2016,07,44551,24094,109
2016,08,48266,25194,58
2016,09,47716,23620,77
2016,10,43328,21881,43
2016,11,39394,18222,57
2016,12,15408,6961,10
2017,01,30307,15903,66
2017,02,23859,11261,32
2017,03,25570,11295,43
2017,04,25618,11758,24
2017,05,27443,12986,36
2017,06,26333,12777,20
2017,07,25436,13693,39
2017,08,26596,12737,108
2017,09,23663,11092,76
2017,10,20431,9611,48
2017,11,16134,7677,21
2017,12,12197,5736,14
