dia,weekday,holiday,workingday,avg_pr,max_pr,min_pr,avg_tmp,min_tmp,max_tmp
2014-12-16,1,0,1,4.966666666666666,14.2,0.0,27.427500000000002,24.2,31.4
2014-12-17,2,0,1,0.0,0.0,0.0,27.551,25.0,32.05
2014-12-18,3,0,1,0.6,1.8,0.0,27.8855,23.55,32.45
2014-12-19,4,0,1,0.0,0.0,0.0,27.9475,25.5,32.1
2014-12-20,5,0,1,0.0,0.0,0.0,28.0125,25.8,32.0
2014-12-21,6,0,0,0.26666666666666666,0.6,0.0,27.8635,24.9,32.1
2014-12-22,0,0,1,0.0,0.0,0.0,27.9215,25.8,31.8
2014-12-23,1,0,1,0.0,0.0,0.0,27.8275,25.85,31.700000000000003
2014-12-24,2,0,1,0.0,0.0,0.0,27.8035,25.549999999999997,31.45
2014-12-25,3,1,0,0.0,0.0,0.0,27.5245,25.8,31.05
2014-12-26,4,0,1,0.0,0.0,0.0,27.719,25.35,31.200000000000003
2014-12-27,5,0,1,1.1666666666666667,3.5,0.0,27.924,25.65,31.6
2014-12-28,6,0,0,1.3666666666666665,3.8,0.0,27.738000000000003,25.7,31.2
2014-12-29,0,0,1,10.333333333333334,24.0,0.0,27.22,23.1,31.049999999999997
2014-12-30,1,0,1,0.0,0.0,0.0,27.266,23.549999999999997,31.3
2014-12-31,2,0,1,4.65,18.0,0.0,27.3735,24.85,31.3
2015-01-01,3,1,0,0.0,0.0,0.0,27.377499999999998,24.7,31.6
2015-01-02,4,0,1,0.0,0.0,0.0,27.183000000000003,22.65,31.6
2015-01-03,5,0,1,28.25,66.6,0.0,27.395664464534104,22.85,29.3
2015-01-04,6,1,0,40.050000000000004,132.0,0.0,26.64,23.1,31.2
2015-01-05,0,1,0,0.025,0.1,0.0,27.26,22.4,30.8
2015-01-06,1,0,1,0.0,0.0,0.0,26.8735,24.549999999999997,30.549999999999997
2015-01-07,2,0,1,6.975,16.8,0.0,26.9075,24.4,30.35
2015-01-08,3,0,1,2.35,8.4,0.0,27.3415,24.799999999999997,30.85
2015-01-09,4,0,1,1.825,6.6,0.0,27.7845,23.85,31.35
2015-01-10,5,0,1,0.25,1.0,0.0,27.419,25.6,30.549999999999997
2015-01-11,6,0,0,0.925,2.2,0.0,27.579500000000003,24.9,31.25
2015-01-12,0,0,1,0.4,1.6,0.0,27.559,25.049999999999997,31.299999999999997
2015-01-13,1,0,1,1.275,3.9,0.0,27.6815,24.7,31.55
2015-01-14,2,0,1,0.0,0.0,0.0,27.772,25.25,31.85
2015-01-15,3,0,1,0.0,0.0,0.0,27.939,24.85,32.05
2015-01-16,4,0,1,0.0,0.0,0.0,28.0545,25.3,32.0
2015-01-17,5,0,1,0.0,0.0,0.0,27.956,26.049999999999997,31.75
2015-01-18,6,0,0,0.9,3.0,0.0,27.6705,24.95,31.55
2015-01-19,0,0,1,0.0,0.0,0.0,27.698499999999996,25.6,31.849999999999998
2015-01-20,1,0,1,0.0,0.0,0.0,27.7665,23.8,31.9
2015-01-21,2,0,1,1.0,4.0,0.0,27.9555,24.9,31.65
2015-01-22,3,0,1,0.0,0.0,0.0,27.649500000000003,25.9,31.75
2015-01-23,4,0,1,0.0,0.0,0.0,27.7725,25.049999999999997,31.65
2015-01-24,5,0,1,0.7,2.8,0.0,27.91,24.55,31.85
2015-01-25,6,0,0,0.0,0.0,0.0,27.884,25.85,32.3
2015-01-26,0,0,1,0.0,0.0,0.0,27.9585,24.65,32.25
2015-01-27,1,0,1,0.0,0.0,0.0,27.714,25.6,31.9
2015-01-28,2,0,1,0.15,0.6,0.0,27.451999999999998,24.0,32.15
2015-01-29,3,0,1,0.0,0.0,0.0,27.485999999999997,23.4,32.150000000000006
2015-01-30,4,0,1,0.0,0.0,0.0,27.6155,23.4,32.4
2015-01-31,5,0,1,0.0,0.0,0.0,28.113500000000002,23.549999999999997,32.5
2015-02-01,6,0,0,0.0,0.0,0.0,28.599,25.65,32.7
2015-02-02,0,0,1,1.0333333333333334,2.6,0.0,28.354,26.049999999999997,32.05
2015-02-03,1,0,1,0.175,0.6,0.0,28.2545,25.200000000000003,31.85
2015-02-04,2,0,1,0.3,0.7,0.0,28.2295,25.950000000000003,32.55
2015-02-05,3,0,1,0.45,1.0,0.0,28.118499999999997,25.450000000000003,32.6
2015-02-06,4,0,1,0.0,0.0,0.0,28.1405,25.05,32.599999999999994
2015-02-07,5,0,1,0.0,0.0,0.0,28.1675,24.3,32.95
2015-02-08,6,0,0,0.0,0.0,0.0,28.353499999999997,24.65,33.05
2015-02-09,0,0,1,0.0,0.0,0.0,28.594,24.65,32.900000000000006
2015-02-10,1,0,1,0.0,0.0,0.0,28.674500000000002,25.25,32.95
2015-02-11,2,1,0,0.0,0.0,0.0,28.6075,26.4,32.95
2015-02-12,3,0,1,0.025,0.1,0.0,28.547,26.35,33.05
2015-02-13,4,0,1,0.5,2.0,0.0,28.5835,26.200000000000003,32.95
2015-02-14,5,0,1,0.025,0.1,0.0,28.616,25.8,32.85
2015-02-15,6,0,0,0.0,0.0,0.0,27.939,25.65,32.0
2015-02-16,0,1,0,1.35,5.0,0.0,27.730999999999998,25.65,31.75
2015-02-17,1,1,0,0.9,2.0,0.0,27.7685,24.95,32.55
2015-02-18,2,1,0,9.025,19.0,0.0,27.8045,24.950000000000003,32.150000000000006
2015-02-19,3,0,1,15.850000000000001,32.0,4.8,27.579,23.549999999999997,31.299999999999997
2015-02-20,4,0,1,0.025,0.1,0.0,27.429000000000002,25.2,29.65
2015-02-21,5,0,1,33.875,50.6,18.5,25.633000000000003,22.049999999999997,29.5
2015-02-22,6,0,0,17.075000000000003,24.3,0.0,25.4,21.6,29.5
2015-02-23,0,0,1,15.85,42.0,4.6,26.12,23.6,28.4
2015-02-24,1,0,1,15.125,24.8,6.0,25.654000000000003,23.8,28.6
2015-02-25,2,0,1,33.55,41.4,30.0,26.78,23.5,31.5
2015-02-26,3,0,1,14.7,22.6,7.0,26.9045,23.950000000000003,31.05
2015-02-27,4,0,1,1.8,5.6,0.2,25.9035,23.8,31.0
2015-02-28,5,0,1,11.2,20.8,1.7,26.9,23.299999999999997,31.0
2015-03-01,6,0,0,8.2,12.4,0.0,26.579,23.2,30.950000000000003
2015-03-02,0,0,1,9.45,17.2,0.0,26.8625,23.200000000000003,31.35
2015-03-03,1,0,1,3.7,8.8,0.0,27.039,23.55,31.95
2015-03-04,2,1,0,2.375,4.0,0.3,27.0405,22.4,31.5
2015-03-05,3,0,1,0.05,0.2,0.0,26.6795,24.6,30.95
2015-03-06,4,0,1,11.45,17.4,8.8,25.9655,24.0,30.0
2015-03-07,5,0,1,15.575000000000001,22.6,8.2,24.978499999999997,22.75,31.590013966480438
2015-03-08,6,0,0,23.5,45.8,0.0,25.14,22.75,28.1
2015-03-09,0,0,1,77.75,100.8,57.2,25.387999999999998,23.05,27.7
2015-03-10,1,0,1,19.7,29.2,9.0,26.371,23.1,31.0
2015-03-11,2,0,1,13.649999999999999,28.4,8.0,27.2425,24.1,31.1
2015-03-12,3,0,1,2.75,4.8,0.0,27.519000000000002,23.95,31.549999999999997
2015-03-13,4,0,1,0.2,0.8,0.0,27.527,24.15,31.65
2015-03-14,5,0,1,0.0,0.0,0.0,27.725,23.6,32.25
2015-03-15,6,0,0,0.2,0.8,0.0,28.1255,24.65,32.8
2015-03-16,0,0,1,1.05,3.0,0.0,28.2885,24.6,31.9
2015-03-17,1,0,1,0.0,0.0,0.0,28.3635,24.205833333333338,31.85
2015-03-18,2,0,1,0.0,0.0,0.0,27.7175,24.75,31.8
2015-03-19,3,1,0,8.35,16.2,1.8,27.5685,25.0,31.45
2015-03-20,4,0,1,3.1666666666666665,4.2,2.1,27.0425,24.3,31.650000000000002
2015-03-21,5,0,1,2.233333333333333,3.8,0.5,25.9765,23.15,30.5
2015-03-22,6,0,0,22.049999999999997,44.2,0.0,25.581500000000002,22.85,29.55
2015-03-23,0,0,1,70.2,93.0,46.2,25.653,22.7,29.1
2015-03-24,1,0,1,8.775,22.8,2.0,26.6065,23.5,31.2
2015-03-25,2,1,0,1.4500000000000002,2.6,0.0,27.1785,23.450000000000003,31.4
2015-03-26,3,0,1,0.65,2.0,0.0,27.072499999999998,24.450000000000003,31.299999999999997
2015-03-27,4,0,1,11.250000000000002,19.2,2.6,27.232,22.95,31.3
2015-03-28,5,0,1,0.25,1.0,0.0,27.457,23.3,31.5
2015-03-29,6,0,0,3.1,9.8,0.0,27.324,24.65,30.65
2015-03-30,0,0,1,5.45,21.8,0.0,26.612499999999997,24.15,29.95
2015-03-31,1,0,1,30.4,58.0,9.5,26.612000000000002,24.35,30.5
2015-04-01,2,0,1,23.7,30.4,12.2,26.2735,23.45,29.4
2015-04-02,3,0,1,7.6,23.4,0.0,25.719,23.9,31.1
2015-04-03,4,0,1,8.1,19.8,0.0,25.78,23.05,31.0
2015-04-04,5,0,1,24.4,35.4,4.4,26.2315,23.25,30.85
2015-04-05,6,0,0,4.6499999999999995,11.0,0.2,27.319000000000003,22.9,31.75
2015-04-06,0,1,0,0.025,0.1,0.0,27.741500000000002,23.3,32.099999999999994
2015-04-07,1,0,1,2.2,8.8,0.0,27.847,24.35,32.05
2015-04-08,2,0,1,0.35,1.4,0.0,27.125500000000002,24.65,31.6
2015-04-09,3,0,1,28.55,40.2,22.0,26.7285,23.1,31.2
2015-04-10,4,0,1,10.975000000000001,34.6,2.2,26.948499999999996,24.15,30.9
2015-04-11,5,0,1,8.25,22.2,1.4,27.5905,24.2,31.200000000000003
2015-04-12,6,0,0,6.35,16.4,0.0,26.364,23.9,29.75
2015-04-13,0,1,0,20.45,30.4,3.8,24.9705,23.25,31.590013966480438
2015-04-14,1,0,1,55.05,60.0,48.8,27.38,22.55,31.4
2015-04-15,2,0,1,27.549999999999997,40.0,14.8,27.2915,23.8,31.450000000000003
2015-04-16,3,0,1,0.75,3.0,0.0,27.301000000000002,23.9,31.25
2015-04-17,4,0,1,3.275,9.6,0.0,27.512999999999998,23.700000000000003,31.2
2015-04-18,5,0,1,7.1,18.8,0.0,27.754,24.25,31.3
2015-04-19,6,0,0,4.1,6.0,0.4,27.199,24.8,30.6
2015-04-20,0,0,1,0.0,0.0,0.0,26.961,24.45,30.95
2015-04-21,1,1,0,2.2,7.4,0.0,26.9715,24.25,32.0
2015-04-22,2,0,1,0.25,1.0,0.0,26.436,23.8,30.85
2015-04-23,3,0,1,22.599999999999998,46.0,9.2,25.302999999999997,22.700000000000003,29.8
2015-04-24,4,0,1,24.724999999999998,41.0,15.6,27.18,22.95,30.950000000000003
2015-04-25,5,0,1,39.85,60.0,28.0,27.3085,23.3,31.55
2015-04-26,6,0,0,1.85,3.4,0.0,27.689500000000002,24.25,31.7
2015-04-27,0,0,1,0.55,1.0,0.0,27.6405,24.5,31.549999999999997
2015-04-28,1,0,1,0.0,0.0,0.0,27.430999999999997,24.3,30.7
2015-04-29,2,0,1,6.4,9.8,2.0,27.411,24.65,30.85
2015-04-30,3,0,1,5.1499999999999995,13.0,0.2,27.9015,24.3,31.3
2015-05-01,4,0,1,0.0,0.0,0.0,27.9325,24.3,31.7
2015-05-02,5,0,1,0.0,0.0,0.0,27.7635,24.5,31.8
2015-05-03,6,0,0,0.025,0.1,0.0,27.601,24.9,31.8
2015-05-04,0,1,0,3.175,8.0,0.0,27.5445,24.1,32.2
2015-05-05,1,0,1,0.0,0.0,0.0,27.549999999999997,24.049999999999997,31.95
2015-05-06,2,0,1,0.0,0.0,0.0,27.720999999999997,24.35,32.05
2015-05-07,3,0,1,1.625,6.0,0.0,27.2915,24.6,31.549999999999997
2015-05-08,4,0,1,4.425000000000001,7.2,1.0,27.2355,24.35,31.549999999999997
2015-05-09,5,0,1,7.25,10.4,0.2,27.6665,23.75,31.25
2015-05-10,6,0,0,0.5,1.4,0.0,27.769,24.85,31.4
2015-05-11,0,0,1,2.45,7.4,0.0,27.612499999999997,25.0,31.6
2015-05-12,1,0,1,0.0,0.0,0.0,27.2975,23.5,31.8
2015-05-13,2,0,1,0.0,0.0,0.0,27.605,23.85,31.7
2015-05-14,3,0,1,1.525,4.1,0.0,28.016,25.049999999999997,32.0
2015-05-15,4,0,1,0.0,0.0,0.0,28.033,24.15,31.590013966480438
2015-05-16,5,0,1,0.2,0.8,0.0,28.021500000000003,24.2,31.9
2015-05-17,6,0,0,0.1,0.4,0.0,27.8225,25.1,31.950000000000003
2015-05-18,0,0,1,0.0,0.0,0.0,27.717,24.35,31.85
2015-05-19,1,0,1,0.0,0.0,0.0,27.8485,24.1,32.25
2015-05-20,2,0,1,0.075,0.3,0.0,28.104,24.5,32.2
2015-05-21,3,0,1,0.0,0.0,0.0,28.232,24.4,32.5
2015-05-22,4,0,1,1.5750000000000002,3.5,0.0,27.6765,24.85,32.0
2015-05-23,5,0,1,5.8,7.8,3.4,27.639000000000003,23.8,31.4
2015-05-24,6,0,0,3.0,5.0,0.0,27.829,24.450000000000003,31.5
2015-05-25,0,0,1,0.4,1.6,0.0,27.462000000000003,25.5,30.65
2015-05-26,1,0,1,5.4,10.8,0.0,27.121,24.049999999999997,31.3
2015-05-27,2,0,1,32.2,53.0,17.4,27.591,24.3,31.2
2015-05-28,3,0,1,10.65,15.6,4.2,27.4985,23.950000000000003,31.1
2015-05-29,4,0,1,0.0,0.0,0.0,27.467999999999996,24.55,31.55
2015-05-30,5,0,1,0.7,1.6,0.0,27.153,23.799999999999997,31.1
