year,month,day,min_tmp
2014,01,01,25.000
2014,01,02,24.900
2014,01,03,23.500
2014,01,04,24.200
2014,01,05,24.700
2014,01,06,24.800
2014,01,07,24.100
2014,01,08,24.400
2014,01,09,24.700
2014,01,10,24.700
2014,01,11,25.000
2014,01,12,23.400
2014,01,13,24.900
2014,01,14,23.000
2014,01,15,25.000
2014,01,16,25.800
2014,01,17,25.500
2014,01,18,25.900
2014,01,19,26.100
2014,01,20,26.500
2014,01,21,24.500
2014,01,22,24.800
2014,01,23,25.500
2014,01,24,26.300
2014,01,25,25.500
2014,01,26,24.200
2014,01,27,24.100
2014,01,28,25.100
2014,01,29,25.200
2014,01,30,24.100
2014,01,31,23.300
2014,02,01,24.300
2014,02,02,25.800
2014,02,03,24.400
2014,02,04,22.200
2014,02,05,23.500
2014,02,06,23.600
2014,02,07,24.900
2014,02,08,22.500
2014,02,09,24.900
2014,02,10,24.600
2014,02,11,24.700
2014,02,12,24.500
2014,02,13,23.700
2014,02,14,26.200
2014,02,15,26.300
2014,02,16,23.900
2014,02,17,21.700
2014,02,18,24.300
2014,02,19,23.200
2014,02,20,24.500
2014,02,21,24.300
2014,02,22,23.600
2014,02,23,24.100
2014,02,24,24.500
2014,02,25,24.300
2014,02,26,24.100
2014,02,27,25.000
2014,02,28,24.200
2014,03,01,24.200
2014,03,02,23.800
2014,03,03,24.600
2014,03,04,23.000
2014,03,05,24.400
2014,03,06,24.100
2014,03,07,23.400
2014,03,08,24.200
2014,03,09,24.000
2014,03,10,24.500
2014,03,11,24.300
2014,03,12,23.900
2014,03,13,24.500
2014,03,14,23.900
2014,03,15,23.900
2014,03,16,23.400
2014,03,17,23.600
2014,03,18,24.400
2014,03,19,22.500
2014,03,20,24.800
2014,03,21,25.600
2014,03,22,25.100
2014,03,23,26.100
2014,03,24,24.800
2014,03,25,25.400
2014,03,26,24.400
2014,03,27,23.700
2014,03,28,24.000
2014,03,29,24.000
2014,03,30,23.300
2014,03,31,22.900
2014,04,01,23.700
2014,04,02,24.200
2014,04,03,23.500
2014,04,04,24.300
2014,04,05,24.100
2014,04,06,24.300
2014,04,07,23.900
2014,04,08,23.500
2014,04,09,23.000
2014,04,10,23.700
2014,04,11,24.100
2014,04,12,24.100
2014,04,13,24.500
2014,04,14,24.200
2014,04,15,22.900
2014,04,16,23.900
2014,04,17,23.400
2014,04,18,23.400
2014,04,19,24.000
2014,04,20,25.400
2014,04,21,25.100
2014,04,22,24.400
2014,04,23,24.300
2014,04,24,24.800
2014,04,25,24.900
2014,04,26,23.600
2014,04,27,24.500
2014,04,28,23.300
2014,04,29,23.300
2014,04,30,24.700
2014,05,01,23.300
2014,05,02,23.600
2014,05,03,24.200
2014,05,04,24.000
2014,05,05,23.500
2014,05,06,23.300
2014,05,07,24.400
2014,05,08,23.800
2014,05,09,24.900
2014,05,10,
2014,05,11,23.100
2014,05,12,23.100
2014,05,13,24.700
2014,05,14,24.100
2014,05,15,23.100
2014,05,16,23.400
2014,05,17,24.200
