dia,x,y
2014-12-16,229,125
2014-12-17,308,171
2014-12-18,314,172
2014-12-19,339,162
2014-12-20,317,200
2014-12-21,527,406
2014-12-22,408,252
2014-12-23,413,218
2014-12-24,217,120
2014-12-25,373,256
2014-12-26,475,306
2014-12-27,407,344
2014-12-28,564,480
2014-12-29,509,353
2014-12-30,417,318
2014-12-31,232,172
2015-01-01,274,243
2015-01-02,452,308
2015-01-03,353,256
2015-01-04,575,558
2015-01-05,496,335
2015-01-06,522,386
2015-01-07,472,341
2015-01-08,510,386
2015-01-09,480,302
2015-01-10,495,352
2015-01-11,515,437
2015-01-12,437,359
2015-01-13,524,400
2015-01-14,564,414
2015-01-15,472,362
2015-01-16,468,309
2015-01-17,499,362
2015-01-18,519,494
2015-01-19,500,353
2015-01-20,547,421
2015-01-21,468,379
2015-01-22,506,378
2015-01-23,470,314
2015-01-24,420,385
2015-01-25,473,498
2015-01-26,499,358
2015-01-27,503,375
2015-01-28,528,365
2015-01-29,453,299
2015-01-30,465,276
2015-01-31,424,304
2015-02-01,497,474
2015-02-02,442,315
2015-02-03,507,320
2015-02-04,451,295
2015-02-05,433,255
2015-02-06,423,311
2015-02-07,397,259
2015-02-08,510,494
2015-02-09,373,245
2015-02-10,416,245
2015-02-11,382,237
2015-02-12,355,208
2015-02-13,281,193
2015-02-14,330,245
2015-02-15,422,330
2015-02-16,387,348
2015-02-17,345,247
2015-02-18,386,290
2015-02-19,346,195
2015-02-20,370,204
2015-02-21,302,236
2015-02-22,405,377
2015-02-23,310,186
2015-02-24,362,167
2015-02-25,385,169
2015-02-26,461,217
2015-02-27,437,218
2015-02-28,346,256
2015-03-01,586,562
2015-03-02,401,202
2015-03-03,502,276
2015-03-04,533,294
2015-03-05,534,283
2015-03-06,528,280
2015-03-07,392,224
2015-03-08,492,487
2015-03-09,485,260
2015-03-10,536,279
2015-03-11,612,362
2015-03-12,634,296
2015-03-13,707,322
2015-03-14,605,432
2015-03-15,733,624
2015-03-16,678,321
2015-03-17,738,432
2015-03-18,708,403
2015-03-19,745,614
2015-03-20,738,407
2015-03-21,560,329
2015-03-22,944,790
