F_0,M_0,O_0,dia
45.50425626666667,33.54741513828238,0.0,2014-12-16
39.52467680311891,27.776983441558443,0.0,2014-12-17
30.524928779069764,31.035541082802556,39.315308333333334,2014-12-18
31.301019238683125,29.460788003933136,51.760216666666665,2014-12-19
42.127635833333336,36.18553028391167,43.534545833333326,2014-12-20
52.0590407635468,46.876603194180895,35.22335833333333,2014-12-21
35.85258379629629,31.800101674836604,0.0,2014-12-22
35.79425978593272,34.83871283292978,0.0,2014-12-23
57.77674236111111,42.74105353302612,67.14545000000001,2014-12-24
61.431590364583336,58.93950960679177,493.82666666666665,2014-12-25
40.9908809912854,36.843312877192986,29.713961111111114,2014-12-26
37.799373546511625,35.495263759213756,0.0,2014-12-27
60.28548409722223,52.41555363475178,37.461244444444446,2014-12-28
42.54123762983947,40.0415871643746,39.01566666666667,2014-12-29
40.78458181341719,36.535064588329334,19.885270000000002,2014-12-30
49.08443149224807,46.95050352011494,0.0,2014-12-31
45.528630521262,53.71052293187348,39.02416666666666,2015-01-01
51.28863338744589,38.559875331858414,0.0,2015-01-02
45.06345481770833,36.50982662889518,0.0,2015-01-03
63.9776245818399,54.82216327536232,0.0,2015-01-04
42.44936109452736,31.965802788978493,54.561877777777774,2015-01-05
40.36629537996546,34.86892595785441,43.038091666666666,2015-01-06
47.33870469208211,35.72754615112995,0.0,2015-01-07
39.98451126943005,30.09971905228758,0.0,2015-01-08
39.51676009933775,30.415064722222223,28.72886666666667,2015-01-09
42.532818229166665,39.88061013468013,19.927833333333332,2015-01-10
61.757007971014495,54.282334724919096,40.56966666666667,2015-01-11
39.61742465181058,34.67637807017544,39.354079999999996,2015-01-12
38.962046083333334,33.95650197201017,28.564383333333332,2015-01-13
41.47982282608695,35.818155673758866,40.95104333333334,2015-01-14
39.17176533149171,30.263863665254238,29.31391111111111,2015-01-15
41.21381504854369,35.222992129629624,65.86960833333333,2015-01-16
43.698742587476985,39.946139311957246,45.803650000000005,2015-01-17
59.321687887989206,59.04933529222864,81.82988333333333,2015-01-18
39.01298640226629,28.345395266666667,40.28326666666667,2015-01-19
37.23330621536026,30.950355271176115,25.496337500000003,2015-01-20
36.98356328056288,28.30573094729345,53.91583333333333,2015-01-21
36.684583509700175,28.19380256916996,26.579054166666666,2015-01-22
43.34268110403397,32.92979117021277,0.0,2015-01-23
41.34486735930736,41.28826503968254,0.0,2015-01-24
61.34271603078982,60.757660465116274,82.69085833333334,2015-01-25
38.172953770949725,31.85198507014028,16.58945,2015-01-26
38.57156408888889,30.444143505632866,24.503833333333333,2015-01-27
49.3812501826484,31.782884311868685,33.193333333333335,2015-01-28
34.66618762541806,29.115138337012507,51.75331111111112,2015-01-29
37.182335205314004,30.99769620071685,34.92684666666666,2015-01-30
41.44515526315789,37.21550117924528,60.032,2015-01-31
59.36733990857946,54.38296485580147,50.84663333333333,2015-02-01
32.11606164021164,26.730252488687782,0.0,2015-02-02
31.827120989583328,27.156561900065746,53.899,2015-02-03
34.217796158192094,33.32169652623799,24.773361111111114,2015-02-04
30.459847124183007,24.473721901462664,12.59375,2015-02-05
