year,M,F,O
1940,0.004631847716426703,7.237262056916724e-05,0.0
1941,0.00014474524113833448,0.0005789809645533379,0.00014474524113833448
1942,0.004559475095857536,0.005066083439841706,0.0
1943,0.01150724667049759,0.005066083439841706,0.0
1944,0.010204539500252581,0.0009408440673991741,7.237262056916724e-05
1945,0.019033999209690983,0.013171816943588436,0.0
1946,0.03119259946531108,0.001519825031952512,0.0
1947,0.01469164197554095,0.003112022684474191,0.0
1948,0.023738219546686853,0.013967915769849277,0.0
1949,0.019757725415382656,0.012954699081880934,0.0
1950,0.08033360883177564,0.04190374730954783,0.0
1951,0.09668982108040743,0.06281943465403717,0.0
1952,0.10399945575789331,0.05218065943036958,0.0038357488901658637
1953,0.1965640374658582,0.04342357234150034,7.237262056916724e-05
1954,0.167470243997053,0.0958937222541466,0.0
1955,0.17036514881981968,0.11290128808790088,7.237262056916724e-05
1956,0.28174661187576805,0.10334810217277081,0.0
1957,0.1529233472626504,0.06021402031354714,0.0
1958,0.2591663542581879,0.17326005364258637,0.0
1959,0.32502543897613007,0.12252684662360012,0.0
1960,0.3870487748039064,0.20590010551928078,0.0
1961,0.2789240796735705,0.2580807649496504,0.0
1962,0.3045439873550557,0.3237951044264542,0.0004342357234150034
1963,0.3966019607190364,0.3461582441823269,0.0
1964,0.3610670040195753,0.2760291748508038,7.237262056916724e-05
1965,0.3067151659721308,0.4012338084354632,7.237262056916724e-05
1966,0.47961335651187126,0.48185690774951545,0.0005789809645533379
1967,0.5130495072148266,0.34514502749435855,0.0007960988262608396
1968,0.474764390933737,0.41353715393222157,0.0004342357234150034
1969,0.6106801723626332,0.4399531604399676,0.0002171178617075017
1970,0.6433202242393276,0.3893646986621197,0.0006513535851225052
1971,0.794579001228887,0.40991852290376324,0.0005066083439841707
1972,0.5574862962442952,0.3924043487260247,0.0008684714468300068
1973,0.42888014949288505,0.3562180384414412,7.237262056916724e-05
1974,0.6073510318164514,0.44147298547192015,0.0003618631028458362
1975,0.8415488319782767,0.4954629604165189,0.00014474524113833448
1976,0.7474644252383592,0.43590029368809424,0.00028949048227666895
1977,1.0891355669453977,0.3643237719451879,0.0005789809645533379
1978,0.8951769438200295,0.5428670268893234,0.0018093155142291809
1979,1.1842331903732835,0.6480968171968926,0.005355573922118375
1980,1.1856082701640978,0.44914448325225187,0.00028949048227666895
1981,1.387383136310936,0.6428859885159126,0.0010132166879683413
1982,1.6447401750548947,0.8361932580561582,0.004776592957565037
1983,1.5209829938816188,0.7663536792069119,0.0009408440673991741
1984,1.6748471852116684,0.9259353075619257,0.0007960988262608396
1985,2.40211964931123,0.9200731252958231,0.0018816881347983481
1986,2.284876003989179,1.2042080336503735,0.0010855893085375086
1987,2.396112721803989,1.2055107408206187,0.007671497780331727
1988,3.0838697350727853,1.4698155511392175,0.0035462584078891947
1989,3.0592630440792683,1.4221943668047055,0.0009408440673991741
1990,2.8745681163867536,1.4258129978331637,0.010638775223667584
1991,3.04695969858251,1.4706116499654782,0.0018093155142291809
1992,3.911161160798936,1.7449762545431913,0.0011579619291066758
1993,3.662126973420431,1.853462812776373,0.005572691783825878
1994,3.7394209321883016,1.8203885251762635,0.004414729854719202
1995,3.9837508992298107,1.9053539817244658,0.003256767925612526
1996,3.7009910706660745,1.719790582585121,0.004704220336995871
1997,2.698992138885954,1.3412094043878073,0.003184395305043358
1998,1.9787398189816015,0.9164544942673648,0.021277550447335168
1999,1.221649835207543,0.6355039812178576,7.237262056916724e-05
2000,0.7639653827281293,0.23694795974345353,0.0
