id,bairro,população
1,Aerolândia,11360
2,Aeroporto (Base Aérea),8618
3,Alagadiço,14505
4,Aldeota,42361
5,Alto da Balança,12814
6,Álvaro Weyne,23690
7,Amadeo Furtado,11703
8,Ancuri,20070
9,Antônio Bezerra,25846
10,Arraial Moura Brasil,3765
11,Autran Nunes,21208
12,Barra do Ceará,72423
13,Barroso,29847
14,Bela Vista,16754
15,Benfica,8970
16,Bom Futuro,6405
17,Bom Jardim,37758
18,Bonsucesso,41198
19,Cais do Porto,22382
20,Cajazeiras,14478
21,Cambeba,7625
22,Canindezinho,41202
23,Carlito Pamplona,29076
24,Castelão,5974
25,Centro,28538
26,Cidade 2000,8272
27,Cidade dos Funcionários,18256
28,Coaçu,7188
29,Cocó,20492
30,Conjunto Ceará I,19221
31,Conjunto Ceará II,23673
32,Conjunto Esperança,16405
33,Conjunto Palmeiras,36599
34,Couto Fernandes,5260
35,Cristo Redentor,26717
36,Curió,7636
37,Damas,10719
38,De Lourdes,3370
39,Demócrito Rocha,10994
40,Dendê,5637
41,Dias Macedo,12111
42,Dom Lustosa,13147
43,Edson Queiroz,22210
44,Engenheiro Luciano Cavalcante,15543
45,Estância (Dionísio Torres),15634
46,Farias Brito,12063
47,Fátima,23309
48,Floresta,28896
49,Genibaú,40336
50,Gentilândia,3984
51,Granja Lisboa,52042
52,Granja Portugal,39651
53,Guajeru,6668
54,Guararapes,5266
55,Henrique Jorge,26994
56,Itaóca,12477
57,Itaperi,22563
58,Jacarecanga,14204
59,Jangurussu,50479
60,Jardim América,12264
61,Jardim Cearense,10103
62,Jardim das Oliveiras,29571
63,Jardim Guanabara,14919
64,Jardim Iracema,23184
65,João XXIII,18398
66,Joaquim Távora,23450
67,Jóquei Club (São Cristóvão),19331
68,José Bonifácio,8848
69,José de Alencar,16003
70,Lagoa Redonda,27949
71,Lagoa Sapiranga (Coité),32158
72,Manoel Sátiro,37952
73,Manuel Dias Branco,1447
74,Maraponga,10155
75,Mata Galinha ,6273
76,Meireles,36982
77,Messejana (sede),41689
78,Mondubim (Sede),76044
79,Monte Castelo,13215
80,Montese,25970
81,Mucuripe,13747
82,Padre Andrade (Cachoeirinha),12936
83,Pan-Americano,8815
84,Papicu,18370
85,Parangaba,30947
86,Parque Araxá,6715
87,Parque Dois Irmãos,27236
88,Parque Iracema ,8409
89,Parque Manibura,7529
90,Parque Presidente Vargas,7192
91,Parque Santa Rosa (Apolo XI),12790
92,Parque São José ,10486
93,Parquelândia,14432
94,Parreão,11072
95,Passaré,50940
96,Paupina,14665
97,Pedras,1342
98,Pici (Parque Universitário),42494
99,Pirambú,17775
100,Planalto Ayrton Senna,39446
101,Praia de Iracema,3130
102,Praia do Futuro I,6630
103,Praia do Futuro II,11957
104,Prefeito José Walter,33427
105,Presidente Kennedy,23004
106,Quintino Cunha,47277
107,Rodolfo Teófilo,19114
108,Sabiaguaba,2117
109,Salinas,4298
110,São Bento,11964
111,São João do Tauape,27598
112,Serrinha,28770
113,Siqueira,33628
114,Varjota,8421
115,Vicente Pinzon,45518
116,Vila Ellery,7863
117,Vila Pery,20645
118,Vila União,15378
119,Vila Velha,61617
,,2452185
