dia,M_0,F_0,O_0,M_3,F_3,O_3,M_4,F_4,O_4,num_of_stations
2014-12-16,229,125,0.0,19,3,0.0,0.0,0.0,0.0,15.0
2014-12-17,308,171,0.0,11,4,0.0,0.0,0.0,0.0,15.0
2014-12-18,314,172,1.0,15,13,0.0,0.0,0.0,0.0,15.0
2014-12-19,339,162,1.0,18,3,0.0,0.0,0.0,0.0,15.0
2014-12-20,317,200,4.0,18,4,0.0,0.0,0.0,0.0,15.0
2014-12-21,527,406,2.0,25,13,0.0,0.0,0.0,0.0,15.0
2014-12-22,408,252,0.0,19,5,0.0,0.0,0.0,0.0,15.0
2014-12-23,413,218,0.0,14,5,0.0,0.0,0.0,0.0,15.0
2014-12-24,217,120,1.0,4,6,0.0,1.0,1.0,0.0,15.0
2014-12-25,373,256,2.0,23,2,0.0,0.0,1.0,0.0,15.0
2014-12-26,475,306,3.0,21,6,0.0,0.0,0.0,0.0,15.0
2014-12-27,407,344,0.0,16,16,0.0,0.0,0.0,0.0,15.0
2014-12-28,564,480,3.0,21,15,0.0,0.0,0.0,0.0,15.0
2014-12-29,509,353,2.0,19,23,0.0,1.0,0.0,0.0,15.0
2014-12-30,417,318,5.0,17,9,0.0,0.0,0.0,0.0,15.0
2014-12-31,232,172,0.0,7,1,0.0,2.0,0.0,0.0,15.0
2015-01-01,274,243,5.0,15,10,0.0,3.0,0.0,0.0,15.0
2015-01-02,452,308,0.0,14,12,0.0,1.0,1.0,0.0,15.0
2015-01-03,353,256,0.0,15,8,0.0,0.0,0.0,0.0,15.0
2015-01-04,575,558,0.0,15,20,0.0,0.0,0.0,0.0,15.0
2015-01-05,496,335,3.0,20,10,1.0,0.0,0.0,0.0,15.0
2015-01-06,522,386,2.0,15,18,0.0,0.0,0.0,0.0,15.0
2015-01-07,472,341,0.0,31,20,0.0,0.0,0.0,0.0,15.0
2015-01-08,510,386,0.0,43,32,0.0,0.0,0.0,0.0,15.0
2015-01-09,480,302,2.0,17,8,0.0,0.0,0.0,0.0,15.0
2015-01-10,495,352,1.0,27,16,0.0,0.0,0.0,0.0,15.0
2015-01-11,515,437,3.0,24,12,0.0,0.0,0.0,0.0,15.0
2015-01-12,437,359,5.0,21,11,1.0,0.0,0.0,0.0,15.0
2015-01-13,524,400,5.0,21,12,1.0,0.0,0.0,0.0,15.0
2015-01-14,564,414,4.0,13,9,0.0,0.0,0.0,0.0,15.0
2015-01-15,472,362,3.0,17,7,0.0,0.0,0.0,0.0,15.0
2015-01-16,468,309,2.0,19,11,0.0,0.0,1.0,0.0,15.0
2015-01-17,499,362,3.0,16,14,0.0,0.0,0.0,0.0,15.0
2015-01-18,519,494,1.0,38,35,0.0,1.0,0.0,0.0,15.0
2015-01-19,500,353,1.0,17,8,0.0,0.0,0.0,0.0,15.0
2015-01-20,547,421,4.0,13,8,1.0,0.0,0.0,0.0,15.0
2015-01-21,468,379,1.0,21,8,0.0,0.0,0.0,0.0,15.0
2015-01-22,506,378,4.0,26,18,0.0,0.0,0.0,0.0,15.0
2015-01-23,470,314,0.0,20,21,0.0,0.0,0.0,0.0,15.0
2015-01-24,420,385,0.0,10,7,0.0,0.0,0.0,0.0,15.0
2015-01-25,473,498,2.0,24,15,0.0,0.0,0.0,0.0,15.0
2015-01-26,499,358,1.0,17,7,0.0,0.0,0.0,0.0,15.0
2015-01-27,503,375,1.0,13,15,0.0,0.0,0.0,0.0,15.0
2015-01-28,528,365,1.0,26,17,0.0,0.0,0.0,0.0,15.0
2015-01-29,453,299,3.0,21,8,0.0,0.0,1.0,0.0,15.0
2015-01-30,465,276,5.0,23,18,0.0,0.0,0.0,0.0,15.0
2015-01-31,424,304,1.0,22,8,0.0,0.0,0.0,0.0,15.0
2015-02-01,497,474,2.0,36,18,0.0,1.0,0.0,0.0,15.0
2015-02-02,442,315,0.0,24,18,0.0,0.0,0.0,0.0,15.0
2015-02-03,507,320,1.0,24,17,0.0,0.0,0.0,0.0,15.0
2015-02-04,451,295,3.0,22,8,0.0,0.0,0.0,0.0,15.0
2015-02-05,433,255,2.0,37,11,0.0,0.0,0.0,0.0,15.0
2015-02-06,423,311,1.0,22,18,0.0,0.0,0.0,0.0,15.0
2015-02-07,397,259,3.0,24,11,0.0,0.0,0.0,0.0,15.0
2015-02-08,510,494,1.0,28,26,0.0,0.0,0.0,0.0,15.0
2015-02-09,373,245,3.0,14,11,0.0,0.0,0.0,0.0,15.0
2015-02-10,416,245,0.0,18,9,0.0,0.0,0.0,0.0,15.0
2015-02-11,382,237,0.0,21,10,0.0,0.0,0.0,0.0,15.0
2015-02-12,355,208,0.0,9,7,0.0,0.0,0.0,0.0,15.0
2015-02-13,281,193,0.0,14,9,0.0,0.0,0.0,0.0,15.0
2015-02-14,330,245,1.0,16,15,0.0,0.0,0.0,0.0,15.0
2015-02-15,422,330,1.0,20,9,0.0,0.0,0.0,0.0,15.0
2015-02-16,387,348,2.0,11,10,0.0,1.0,0.0,0.0,15.0
2015-02-17,345,247,0.0,15,13,0.0,0.0,0.0,0.0,15.0
2015-02-18,386,290,2.0,19,6,0.0,0.0,0.0,0.0,15.0
2015-02-19,346,195,0.0,8,8,0.0,0.0,0.0,0.0,15.0
2015-02-20,370,204,0.0,11,9,0.0,1.0,0.0,0.0,15.0
2015-02-21,302,236,0.0,12,10,0.0,0.0,0.0,0.0,15.0
2015-02-22,405,377,0.0,11,10,0.0,0.0,0.0,0.0,15.0
2015-02-23,310,186,0.0,13,12,0.0,0.0,0.0,0.0,20.0
2015-02-24,362,167,0.0,21,13,0.0,0.0,0.0,0.0,20.0
2015-02-25,385,169,1.0,23,8,0.0,0.0,0.0,0.0,20.0
2015-02-26,461,217,0.0,21,7,0.0,0.0,0.0,0.0,20.0
2015-02-27,437,218,0.0,23,16,0.0,1.0,0.0,0.0,20.0
2015-02-28,346,256,0.0,15,10,0.0,1.0,0.0,0.0,24.0
2015-03-01,586,562,1.0,39,34,0.0,1.0,0.0,0.0,25.0
2015-03-02,401,202,0.0,20,11,0.0,0.0,0.0,0.0,25.0
2015-03-03,502,276,0.0,34,18,0.0,0.0,0.0,0.0,25.0
2015-03-04,533,294,0.0,26,21,0.0,0.0,0.0,0.0,25.0
2015-03-05,534,283,0.0,36,12,0.0,0.0,0.0,0.0,25.0
2015-03-06,528,280,0.0,28,22,0.0,0.0,1.0,0.0,30.0
2015-03-07,392,224,0.0,26,15,0.0,2.0,0.0,0.0,30.0
2015-03-08,492,487,0.0,39,17,0.0,1.0,1.0,0.0,30.0
2015-03-09,485,260,0.0,34,10,0.0,0.0,0.0,0.0,30.0
2015-03-10,536,279,0.0,31,17,0.0,2.0,0.0,0.0,30.0
2015-03-11,612,362,0.0,52,14,0.0,0.0,0.0,0.0,30.0
2015-03-12,634,296,0.0,26,16,0.0,0.0,0.0,0.0,30.0
2015-03-13,707,322,0.0,31,21,0.0,0.0,0.0,0.0,30.0
2015-03-14,605,432,2.0,37,21,0.0,2.0,0.0,0.0,30.0
2015-03-15,733,624,2.0,49,26,0.0,2.0,0.0,0.0,30.0
2015-03-16,678,321,0.0,32,22,0.0,0.0,0.0,0.0,30.0
2015-03-17,738,432,0.0,33,17,0.0,0.0,0.0,0.0,30.0
2015-03-18,708,403,0.0,41,20,0.0,0.0,0.0,0.0,30.0
2015-03-19,745,614,7.0,48,28,0.0,0.0,0.0,0.0,30.0
2015-03-20,738,407,1.0,43,29,0.0,0.0,0.0,0.0,30.0
2015-03-21,560,329,1.0,57,25,0.0,1.0,0.0,0.0,35.0
2015-03-22,944,790,7.0,66,36,0.0,0.0,0.0,0.0,35.0
2015-03-23,813,372,0.0,53,35,0.0,0.0,0.0,0.0,35.0
2015-03-24,879,426,0.0,54,27,0.0,0.0,0.0,0.0,35.0
2015-03-25,1101,901,3.0,97,48,0.0,1.0,1.0,0.0,35.0
2015-03-26,948,466,4.0,81,42,1.0,0.0,2.0,0.0,35.0
2015-03-27,1010,479,4.0,83,41,0.0,0.0,0.0,0.0,35.0
2015-03-28,935,652,6.0,47,41,0.0,0.0,0.0,0.0,35.0
2015-03-29,925,938,2.0,67,58,0.0,0.0,0.0,0.0,38.0
2015-03-30,869,450,0.0,48,28,0.0,0.0,0.0,0.0,38.0
2015-03-31,936,450,4.0,62,29,0.0,0.0,0.0,0.0,38.0
2015-04-01,1054,479,3.0,45,30,0.0,0.0,1.0,0.0,38.0
2015-04-02,883,534,8.0,49,26,0.0,0.0,0.0,0.0,38.0
2015-04-03,825,669,6.0,70,39,1.0,0.0,0.0,0.0,38.0
2015-04-04,869,641,10.0,74,42,0.0,0.0,0.0,0.0,38.0
2015-04-05,944,877,8.0,87,65,1.0,0.0,0.0,0.0,38.0
2015-04-06,1069,529,0.0,83,36,0.0,0.0,0.0,0.0,38.0
2015-04-07,1183,593,2.0,125,56,0.0,3.0,1.0,0.0,38.0
2015-04-08,1198,577,1.0,121,54,0.0,0.0,0.0,0.0,38.0
2015-04-09,994,452,1.0,101,36,0.0,1.0,0.0,0.0,38.0
2015-04-10,1095,458,0.0,122,53,0.0,0.0,1.0,0.0,38.0
2015-04-11,1039,680,3.0,103,61,0.0,0.0,0.0,0.0,38.0
2015-04-12,1055,908,4.0,100,71,0.0,0.0,0.0,0.0,38.0
2015-04-13,799,422,2.0,87,37,0.0,1.0,0.0,0.0,38.0
2015-04-14,829,398,1.0,76,44,0.0,0.0,0.0,0.0,38.0
2015-04-15,1054,541,1.0,91,42,1.0,1.0,0.0,0.0,38.0
2015-04-16,1139,641,2.0,96,52,0.0,2.0,0.0,0.0,38.0
2015-04-17,1237,591,1.0,134,44,1.0,0.0,0.0,0.0,38.0
2015-04-18,1114,686,2.0,85,57,0.0,0.0,0.0,0.0,38.0
2015-04-19,1195,990,4.0,109,64,0.0,0.0,0.0,0.0,38.0
2015-04-20,1172,609,1.0,137,63,1.0,0.0,0.0,0.0,38.0
2015-04-21,1235,1061,8.0,103,82,0.0,0.0,0.0,0.0,38.0
2015-04-22,1136,621,1.0,92,60,1.0,0.0,0.0,0.0,38.0
2015-04-23,1010,505,4.0,75,36,0.0,2.0,0.0,0.0,38.0
2015-04-24,601,199,0.0,36,13,0.0,0.0,0.0,0.0,38.0
2015-04-25,1144,717,2.0,103,69,0.0,0.0,0.0,0.0,38.0
2015-04-26,1063,1021,8.0,70,59,0.0,0.0,0.0,0.0,39.0
2015-04-27,1149,573,1.0,56,34,0.0,0.0,0.0,0.0,39.0
2015-04-28,1170,614,3.0,88,63,0.0,0.0,0.0,0.0,39.0
2015-04-29,1144,583,1.0,124,60,0.0,0.0,0.0,0.0,39.0
2015-04-30,1146,533,3.0,154,46,0.0,0.0,0.0,0.0,40.0
2015-05-01,1114,955,2.0,128,77,0.0,0.0,1.0,0.0,40.0
2015-05-02,1022,659,8.0,88,49,1.0,0.0,0.0,0.0,40.0
2015-05-03,825,699,2.0,67,71,0.0,1.0,0.0,0.0,40.0
2015-05-04,1056,596,2.0,168,63,1.0,0.0,0.0,0.0,40.0
2015-05-05,1163,597,0.0,121,52,0.0,0.0,0.0,0.0,40.0
2015-05-06,1128,617,1.0,133,68,0.0,0.0,0.0,0.0,40.0
2015-05-07,1100,569,0.0,152,80,0.0,0.0,0.0,0.0,40.0
2015-05-08,1181,534,0.0,170,63,0.0,0.0,0.0,0.0,40.0
2015-05-09,916,555,0.0,94,45,0.0,0.0,0.0,0.0,40.0
2015-05-10,828,597,3.0,79,63,1.0,0.0,0.0,0.0,40.0
2015-05-11,1127,540,0.0,125,73,0.0,0.0,0.0,0.0,40.0
2015-05-12,1162,707,0.0,150,88,0.0,0.0,1.0,0.0,40.0
2015-05-13,1100,672,1.0,111,69,0.0,0.0,0.0,0.0,40.0
2015-05-14,1036,563,0.0,127,67,0.0,0.0,0.0,0.0,40.0
2015-05-15,1174,628,0.0,117,64,0.0,0.0,1.0,0.0,40.0
2015-05-16,1018,642,4.0,118,65,2.0,0.0,0.0,0.0,40.0
2015-05-17,1051,932,6.0,143,120,0.0,1.0,0.0,0.0,40.0
2015-05-18,1170,647,0.0,158,96,0.0,2.0,0.0,0.0,40.0
2015-05-19,1233,706,3.0,186,109,0.0,1.0,0.0,0.0,40.0
2015-05-20,1137,697,2.0,125,65,0.0,0.0,0.0,0.0,40.0
2015-05-21,1163,624,2.0,147,82,1.0,1.0,1.0,0.0,40.0
2015-05-22,1085,596,1.0,112,71,0.0,0.0,0.0,0.0,40.0
2015-05-23,970,585,0.0,121,67,0.0,0.0,0.0,0.0,40.0
2015-05-24,867,761,1.0,84,80,0.0,0.0,0.0,0.0,40.0
2015-05-25,1051,584,0.0,121,78,0.0,0.0,0.0,0.0,40.0
